,frame_number,led_intensity,timestamp,timestamp_verified
1,1,0,2019-07-04 16:49:43,2019-07-04 16:49:43
2,2,0,2019-07-04 16:49:44,2019-07-04 16:49:44
3,3,0,2019-07-04 16:49:44,2019-07-04 16:49:44
4,4,0,2019-07-04 16:49:44,2019-07-04 16:49:44
5,5,0,2019-07-04 16:49:44,2019-07-04 16:49:44
6,6,0,2019-07-04 16:49:44,2019-07-04 16:49:44
7,7,0,2019-07-04 16:49:44,2019-07-04 16:49:44
8,8,0,2019-07-04 16:49:44,2019-07-04 16:49:44
9,9,0,2019-07-04 16:49:44,2019-07-04 16:49:44
10,10,0,2019-07-04 16:49:44,2019-07-04 16:49:44
11,11,0,2019-07-04 16:49:44,2019-07-04 16:49:44
12,12,0,2019-07-04 16:49:44,2019-07-04 16:49:44
13,13,0,2019-07-04 16:49:44,2019-07-04 16:49:44
14,14,0,2019-07-04 16:49:44,2019-07-04 16:49:44
15,15,0,2019-07-04 16:49:44,2019-07-04 16:49:44
16,16,0,2019-07-04 16:49:44,2019-07-04 16:49:44
17,17,0,2019-07-04 16:49:44,2019-07-04 16:49:44
18,18,0,2019-07-04 16:49:44,2019-07-04 16:49:44
19,19,0,2019-07-04 16:49:44,2019-07-04 16:49:44
20,20,0,2019-07-04 16:49:44,2019-07-04 16:49:44
21,21,0,2019-07-04 16:49:44,2019-07-04 16:49:44
22,22,0,2019-07-04 16:49:44,2019-07-04 16:49:44
23,23,0,2019-07-04 16:49:44,2019-07-04 16:49:44
24,24,0,2019-07-04 16:49:45,2019-07-04 16:49:45
25,25,0,2019-07-04 16:49:45,2019-07-04 16:49:45
26,26,0,2019-07-04 16:49:45,2019-07-04 16:49:45
27,27,0,2019-07-04 16:49:45,2019-07-04 16:49:45
28,28,0,2019-07-04 16:49:45,2019-07-04 16:49:45
29,29,0,2019-07-04 16:49:45,2019-07-04 16:49:45
30,30,0,2019-07-04 16:49:45,2019-07-04 16:49:45
31,31,0,2019-07-04 16:49:45,2019-07-04 16:49:45
32,32,0,2019-07-04 16:49:45,2019-07-04 16:49:45
33,33,0,2019-07-04 16:49:45,2019-07-04 16:49:45
34,34,0,2019-07-04 16:49:45,2019-07-04 16:49:45
35,35,0,2019-07-04 16:49:45,2019-07-04 16:49:45
36,36,0,2019-07-04 16:49:45,2019-07-04 16:49:45
37,37,0,2019-07-04 16:49:45,2019-07-04 16:49:45
38,38,0,2019-07-04 16:49:45,2019-07-04 16:49:45
39,39,0,2019-07-04 16:49:45,2019-07-04 16:49:45
40,40,0,2019-07-04 16:49:45,2019-07-04 16:49:45
41,41,0,2019-07-04 16:49:45,2019-07-04 16:49:45
42,42,0,2019-07-04 16:49:45,2019-07-04 16:49:45
43,43,0,2019-07-04 16:49:45,2019-07-04 16:49:45
44,44,0,2019-07-04 16:49:45,2019-07-04 16:49:45
45,45,0,2019-07-04 16:49:45,2019-07-04 16:49:45
46,46,0,2019-07-04 16:49:46,2019-07-04 16:49:46
47,47,0,2019-07-04 16:49:46,2019-07-04 16:49:46
48,48,0,2019-07-04 16:49:46,2019-07-04 16:49:46
49,49,0,2019-07-04 16:49:46,2019-07-04 16:49:46
50,50,0,2019-07-04 16:49:46,2019-07-04 16:49:46
51,51,0,2019-07-04 16:49:46,2019-07-04 16:49:46
52,52,0,2019-07-04 16:49:46,2019-07-04 16:49:46
53,53,0,2019-07-04 16:49:46,2019-07-04 16:49:46
54,54,0,2019-07-04 16:49:46,2019-07-04 16:49:46
55,55,0,2019-07-04 16:49:46,2019-07-04 16:49:46
56,56,0,2019-07-04 16:49:46,2019-07-04 16:49:46
57,57,0,2019-07-04 16:49:46,2019-07-04 16:49:46
58,58,0,2019-07-04 16:49:46,2019-07-04 16:49:46
59,59,0,2019-07-04 16:49:46,2019-07-04 16:49:46
60,60,0,2019-07-04 16:49:46,2019-07-04 16:49:46
61,61,0,2019-07-04 16:49:46,2019-07-04 16:49:46
62,62,0,2019-07-04 16:49:46,2019-07-04 16:49:46
63,63,0,2019-07-04 16:49:46,2019-07-04 16:49:46
64,64,0,2019-07-04 16:49:46,2019-07-04 16:49:46
65,65,0,2019-07-04 16:49:46,2019-07-04 16:49:46
66,66,0,2019-07-04 16:49:46,2019-07-04 16:49:46
67,67,0,2019-07-04 16:49:46,2019-07-04 16:49:46
68,68,0,2019-07-04 16:49:47,2019-07-04 16:49:47
69,69,0,2019-07-04 16:49:47,2019-07-04 16:49:47
70,70,0,2019-07-04 16:49:47,2019-07-04 16:49:47
71,71,0,2019-07-04 16:49:47,2019-07-04 16:49:47
72,72,0,2019-07-04 16:49:47,2019-07-04 16:49:47
73,73,0,2019-07-04 16:49:47,2019-07-04 16:49:47
74,74,0,2019-07-04 16:49:47,2019-07-04 16:49:47
75,75,0,2019-07-04 16:49:47,2019-07-04 16:49:47
76,76,0,2019-07-04 16:49:47,2019-07-04 16:49:47
77,77,0,2019-07-04 16:49:47,2019-07-04 16:49:47
