,audio_annotation_file,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments,Unnamed: 11,Unnamed: 1,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,fm2_start_time,fm2_end_time,fm2_dbrms
0,matching_annotaudio_Aditya_2018-08-20_0300-0400_18,0.71,1.2496,R,55.0,0.466,0.498,30.92,0.513,0.519,,,,,,,,,,,,,
1,matching_annotaudio_Aditya_2018-08-20_0300-0400_19,0.3,0.6,R,60.0,0.619,0.638,30.5,0.596,0.604,,,,,,,,,,,,,
2,matching_annotaudio_Aditya_2018-08-20_0300-0400_25,0.88,0.5984,R,80.0,0.035,0.067,23.88,0.08800000000000001,0.10400000000000001,,,,,,,,,,,,,
3,matching_annotaudio_Aditya_2018-08-20_0300-0400_31,0.79,0.5688,L,45.0,0.04,0.062,21.34,0.03,0.037000000000000005,,,,,,,,,,,,,
4,matching_annotaudio_Aditya_2018-08-20_0300-0400_35,0.24,0.2016,R,55.0,0.267,0.28600000000000003,26.69,0.256,0.263,,,,,,,,,,,,,
6,matching_annotaudio_Aditya_2018-08-20_0300-0400_56,0.24,0.096,L,100.0,0.053,0.10400000000000001,20.52,0.12,0.13,,,,,,,,,,,,,
7,matching_annotaudio_Aditya_2018-08-20_0300-0400_58,0.84,3.6624,L,70.0,3.554,3.5789999999999997,30.58,3.5980000000000003,3.6039999999999996,,,,,,,,,,,,,
8,matching_annotaudio_Aditya_2018-08-20_0300-0400_61,0.56,0.4704,R,45.0,0.354,0.371,20.96,0.38299999999999995,0.392,,,,,,,,,,,,,
14,matching_annotaudio_Aditya_2018-08-20_0300-0400_85,0.08,0.08,R,60.0,0.21,0.23199999999999998,28.88,0.19699999999999998,0.203,,,,,,,,,,,,,
15,matching_annotaudio_Aditya_2018-08-20_0300-0400_90,0.63,0.4032,R,80.0,0.23399999999999999,0.25,32.33,0.28800000000000003,0.297,,,,,,,,,,,,,
16,matching_annotaudio_Aditya_2018-08-20_0300-0400_91,0.66,0.2904,L,55.0,0.157,0.179,26.12,0.258,0.264,,,,,,,,,,,,,
17,matching_annotaudio_Aditya_2018-08-20_0300-0400_92,0.34,0.2312,L,90.0,0.052000000000000005,0.073,22.69,0.10400000000000001,0.111,,,,,,,,,,,,,
20,matching_annotaudio_Aditya_2018-08-16_2324_7,0.49,0.5292,R,60.0,0.789,0.809,39.67,0.7859999999999999,0.789,,,,,,,,,,,,,
23,matching_annotaudio_Aditya_2018-08-16_2324_10,0.86,0.5848,L,45.0,0.023,0.064,23.66,0.077,0.085,,,,,,,,,,,,,
24,matching_annotaudio_Aditya_2018-08-16_2324_14,0.96,0.2688,R,70.0,0.024,0.040999999999999995,22.2,0.087,0.09699999999999999,There is one FM call towards the end. Not sure,,,,,,,,,,,,
25,matching_annotaudio_Aditya_2018-08-16_2324_15,0.19,0.1292,R,40.0,0.02,0.039,29.76,0.054000000000000006,0.06,,,,,,,,,,,,,
26,matching_annotaudio_Aditya_2018-08-16_2324_18,0.28,0.3808,L,45.0,0.044000000000000004,0.067,33.62,0.46,0.46399999999999997,There are echoes of the previous call along with this. NOT SURE. 2 bat situation.,,,,,,,,,,,,
27,matching_annotaudio_Aditya_2018-08-16_2324_20,0.56,0.56,L,60.0,0.322,0.342,40.69,0.857,0.861,,,,,,,,,,,,,
28,matching_annotaudio_Aditya_2018-08-16_2324_22,0.79,4.6768,R,55.0,5.101,5.125,38.55,5.5489999999999995,5.5520000000000005,There are very 1/2 faint myotis calls in between,,,,,,,,,,,,
29,matching_annotaudio_Aditya_2018-08-16_2324_23,0.2,0.56,L,45.0,0.502,0.519,25.95,0.9520000000000001,0.9590000000000001,,,,,,,,,,,,,
31,matching_annotaudio_Aditya_2018-08-16_2324_26,0.68,0.8976,R,40.0,0.129,0.146,32.53,0.445,0.449,,,,,,,,,,,,,
32,matching_annotaudio_Aditya_2018-08-16_2324_28,0.7,0.588,R,55.0,0.54,0.556,29.89,0.086,0.09,,,,,,,,,,,,,
33,matching_annotaudio_Aditya_2018-08-16_2324_29,0.33,0.1056,R,80.0,0.19899999999999998,0.23600000000000002,39.87,0.247,0.258,,,,,,,,,,,,,
34,matching_annotaudio_Aditya_2018-08-16_2324_30,0.09,0.14400000000000002,R,50.0,0.204,0.248,29.06,0.33799999999999997,0.35200000000000004,,,,,,,,,,,,,
35,matching_annotaudio_Aditya_2018-08-16_2324_31,0.33,0.3696,R,70.0,0.623,0.642,41.61,0.878,0.885,,,,,,,,,,,,,
36,matching_annotaudio_Aditya_2018-08-16_2324_54,0.41,1.0988,L,80.0,0.851,877.0,33.01,0.828,0.838,,,,,,,,,,,,,
37,matching_annotaudio_Aditya_2018-08-16_2324_55,0.78,2.2152,L,45.0,1.044,1.0759999999999998,23.36,1.021,1.0290000000000001,,,,,,,,,,,,,
38,matching_annotaudio_Aditya_2018-08-16_2324_56,0.44,1.3024,L,45.0,1.0490000000000002,1.075,27.59,1.035,1.043,,,,,,,,,,,,,
39,matching_annotaudio_Aditya_2018-08-16_2324_59,0.98,1.0192,R,70.0,0.618,0.637,22.03,0.36200000000000004,0.365,,,,,,,,,,,,,
40,matching_annotaudio_Aditya_2018-08-16_2324_61,0.4,0.384,L,55.0,0.341,0.37,31.57,0.33,0.33799999999999997,,,,,,,,,,,,,
41,matching_annotaudio_Aditya_2018-08-16_2324_62,0.96,5.1456,L,80.0,5.001,5.038,31.02,4.973,4.996,There are HSB calls towards the end only. FM calls in the beginning. There is only one bat in the cave,,,,,,,,,,,,
42,matching_annotaudio_Aditya_2018-08-16_2324_68,0.77,0.616,L,50.0,0.23600000000000002,0.267,30.72,0.27899999999999997,0.29,There are echoes.,,,,,,,,,,,,
43,matching_annotaudio_Aditya_2018-08-16_2324_69,0.56,4.6368,L,60.0,4.6160000000000005,4.635,27.57,4.584,4.587,,,,,,,,,,,,,
44,matching_annotaudio_Aditya_2018-08-16_2324_70,0.43,0.5848,R,45.0,1.324,1.345,20.53,1.314,1.319,,,,,,,,,,,,,
46,matching_annotaudio_Aditya_2018-08-16_2324_80,0.48,0.48,L,65.0,0.45399999999999996,0.475,32.55,0.431,0.44799999999999995,,,,,,,,,,,,,
47,matching_annotaudio_Aditya_2018-08-16_2324_85,0.14,0.5096,L,60.0,0.188,0.23600000000000002,33.24,0.251,0.272,,,,,,,,,,,,,
48,matching_annotaudio_Aditya_2018-08-16_2324_88,0.82,3.6736,R,70.0,3.9019999999999997,3.957,40.49,3.8819999999999997,3.9,,,,,,,,,,,,,
50,matching_annotaudio_Aditya_2018-08-16_2324_90,0.92,1.1776,L,80.0,0.627,0.6559999999999999,28.36,0.6729999999999999,0.684,,,,,,,,,,,,,
51,matching_annotaudio_Aditya_2018-08-16_2324_91,0.03,0.0792,R,80.0,0.153,0.17300000000000001,39.65,0.21899999999999997,0.23800000000000002,,,,,,,,,,,,,
52,matching_annotaudio_Aditya_2018-08-16_2324_92,0.2,0.536,R,45.0,0.223,0.24,31.18,2.209,2.222,,,,,,,,,,,,,
53,matching_annotaudio_Aditya_2018-08-16_2324_94,0.35,0.322,R,50.0,0.326,0.34700000000000003,32.65,0.358,0.368,,,,,,,,,,,,,
54,matching_annotaudio_Aditya_2018-08-16_2324_95,0.3,0.12,R,50.0,0.037000000000000005,0.061,28.45,0.142,0.14800000000000002,,,,,,,,,,,,,
55,matching_annotaudio_Aditya_2018-08-16_2324_117,0.54,0.8640000000000001,R,50.0,0.743,0.765,28.53,0.731,0.7390000000000001,,,,,,,,,,,,,
56,matching_annotaudio_Aditya_2018-08-16_2324_128,0.78,0.9048,R,70.0,0.7140000000000001,0.7509999999999999,25.27,0.696,0.713,,,,,,,,,,,,,
57,matching_annotaudio_Aditya_2018-08-16_2324_129,0.76,0.456,R,70.0,0.537,0.56,26.19,0.044000000000000004,0.052000000000000005,,,,,,,,,,,,,
58,matching_annotaudio_Aditya_2018-08-16_2324_130,0.84,2.688,R,50.0,2.722,2.745,20.24,2.7119999999999997,2.721,,,,,,,,,,,,,
60,matching_annotaudio_Aditya_2018-08-16_2324_143,0.27,0.5616,L,60.0,0.493,0.512,28.4,0.485,0.491,,,,,,,,,,,,,
61,matching_annotaudio_Aditya_2018-08-16_2324_148,0.6,0.672,R,60.0,1.002,1.0170000000000001,21.57,0.40700000000000003,0.413,,,,,,,,,,,,,
63,matching_annotaudio_Aditya_2018-08-16_2324_154,0.69,0.552,L,50.0,0.11,0.147,35.13,0.18,0.184,,,,,,,,,,,,,
64,matching_annotaudio_Aditya_2018-08-16_2324_156,0.06,0.0408,R,45.0,0.135,0.16,33.44,0.121,0.132,,,,,,,,,,,,,
65,matching_annotaudio_Aditya_2018-08-16_2324_159,0.54,0.324,R,70.0,0.25,0.27399999999999997,30.98,0.22899999999999998,0.237,,,,,,,,,,,,,
66,matching_annotaudio_Aditya_2018-08-16_2324_165,0.75,1.53,R,60.0,0.88,0.898,20.07,0.8590000000000001,0.867,,,,,,,,,,,,,
67,matching_annotaudio_Aditya_2018-08-16_2324_167,0.85,0.272,R,80.0,0.055,0.086,46.52,0.11800000000000001,0.124,,,,,,,,,,,,,
69,matching_annotaudio_Aditya_2018-08-16_2324_171,0.19,0.19,R,65.0,0.616,0.639,20.52,0.607,0.613,,,,,,,,,,,,,
70,matching_annotaudio_Aditya_2018-08-16_2324_179,0.59,0.354,R,75.0,0.11699999999999999,0.134,27.96,0.14400000000000002,0.154,,,,,,,,,,,,,
71,matching_annotaudio_Aditya_2018-08-16_2324_180,0.37,0.29600000000000004,R,50.0,0.22,0.235,34.21,0.297,0.303,,,,,,,,,,,,,
72,matching_annotaudio_Aditya_2018-08-16_2324_182,0.87,1.1484,R,80.0,0.41600000000000004,0.43799999999999994,20.69,0.474,0.479,,,,,,,,,,,,,
74,matching_annotaudio_Aditya_2018-08-16_2324_184,0.18,0.1224,R,80.0,0.157,0.18100000000000002,43.2,0.149,0.154,,,,,,,,,,,,,
77,matching_annotaudio_Aditya_2018-08-16_2324_192,0.42,0.4536,R,70.0,0.5479999999999999,0.5660000000000001,21.7,0.596,0.598,,,,,,,,,,,,,
