,audio_path,skip,start,stop,segment_method,signal_level,tfr_cliprange,measurements,window_size,extrap_window,max_acc,fmrate_threshold
0,../../hp_ind_calls/2018-08-16_2150-2300/segment_matching_annotaudio_Aditya_2018-08-16_21502300_9_hp.WAV,TRUE,DEFAULT,DEFAULT,pwvd,-38,46,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
1,../../hp_ind_calls/2018-08-16_2150-2300/segment_matching_annotaudio_Aditya_2018-08-16_21502300_18_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-44,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
2,../../hp_ind_calls/2018-08-16_2150-2300/segment_matching_annotaudio_Aditya_2018-08-16_21502300_19_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-46,50,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
3,../../hp_ind_calls/2018-08-16_2150-2300/segment_matching_annotaudio_Aditya_2018-08-16_21502300_20_hp.WAV,DEFAULT,DEFAULT,0.0203,pwvd,-46,36,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
4,../../hp_ind_calls/2018-08-16_2150-2300/segment_matching_annotaudio_Aditya_2018-08-16_21502300_22_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
5,../../hp_ind_calls/2018-08-16_2150-2300/segment_matching_annotaudio_Aditya_2018-08-16_21502300_24_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
6,../../hp_ind_calls/2018-08-16_2150-2300/segment_matching_annotaudio_Aditya_2018-08-16_21502300_25_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-46,46,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
7,../../hp_ind_calls/2018-08-16_2150-2300/segment_matching_annotaudio_Aditya_2018-08-16_21502300_26_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,46,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
8,../../hp_ind_calls/2018-08-16_2150-2300/segment_matching_annotaudio_Aditya_2018-08-16_21502300_28_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-46,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
9,../../hp_ind_calls/2018-08-16_2150-2300/segment_matching_annotaudio_Aditya_2018-08-16_21502300_30_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,38,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
10,../../hp_ind_calls/2018-08-16_2150-2300/segment_matching_annotaudio_Aditya_2018-08-16_21502300_32_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,42,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
11,../../hp_ind_calls/2018-08-16_2150-2300/segment_matching_annotaudio_Aditya_2018-08-16_21502300_33_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
