,audio_path,skip,segment_method,signal_level,tfr_cliprange,measurements,window_size,extrap_window,max_acc,fmrate_threshold
0,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_2_hp.WAV,TRUE,pwvd,-46,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
1,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_4_hp.WAV,TRUE,pwvd,-48,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
2,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_10_hp.WAV,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
3,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_11_hp.WAV,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
4,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_13_hp.WAV,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
5,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_15_hp.WAV,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
6,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_21_hp.WAV,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
7,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_22_hp.WAV,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
8,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_24_hp.WAV,TRUE,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
9,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_26_hp.WAV,DEFAULT,pwvd,-46,60,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
10,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_28_hp.WAV,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
11,../../hp_ind_calls/2018-08-17_0000-0100/segment_matching_annotaudio_Aditya_2018-08-17_01_29_hp.WAV,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
