,audio_path,segment_method,signal_level,tfr_cliprange,window_size,extrap_window,max_acc,fmrate_threshold,measurements
0,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_117_hp.WAV,pwvd,-40,DEFAULT,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
1,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_50_hp.WAV,pwvd,-56,DEFAULT,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
2,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_100_hp.WAV,pwvd,-40,DEFAULT,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
3,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_108_hp.WAV,pwvd,-40,DEFAULT,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
4,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_74_hp.WAV,pwvd,-36,40,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
5,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_29_hp.WAV,pwvd,-50,40,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
6,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_121_hp.WAV,pwvd,-40,DEFAULT,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
7,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_71_hp.WAV,pwvd,-50,40,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
8,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_114_hp.WAV,pwvd,-40,DEFAULT,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
9,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_8_hp.WAV,pwvd,-46,30,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
10,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_110_hp.WAV,pwvd,-40,DEFAULT,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
11,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_76_hp.WAV,pwvd,-36,DEFAULT,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
12,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_53_hp.WAV,pwvd,-40,40,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
13,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_68_hp.WAV,pwvd,-50,40,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
14,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_77_hp.WAV,pwvd,-36,36,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
15,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_39_hp.WAV,pwvd,-50,46,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
16,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_28_hp.WAV,pwvd,-46,40,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
17,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_80_hp.WAV,pwvd,-36,DEFAULT,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
18,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_44_hp.WAV,pwvd,-50,DEFAULT,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
19,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_15_hp.WAV,pwvd,-46,42,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
20,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_75_hp.WAV,pwvd,-43,36,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
21,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_2_hp.WAV,pwvd,-40,36,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
22,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_21_hp.WAV,pwvd,-40,46,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
23,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_118_hp.WAV,pwvd,-36,DEFAULT,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
24,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_115_hp.WAV,pwvd,-36,DEFAULT,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
25,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_116_hp.WAV,pwvd,-38,34,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
26,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_33_hp.WAV,pwvd,-40,46,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
27,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_73_hp.WAV,pwvd,-50,40,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
28,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_101_hp.WAV,pwvd,-46,40,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
29,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_79_hp.WAV,pwvd,-36,40,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
30,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_16_hp.WAV,pwvd,-40,46,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
31,../../hp_ind_calls/2018-08-17_0100-0200/segment_matching_annotaudio_Aditya_2018-08-17_12_103_hp.WAV,pwvd,-46,40,375,5E-05,3,2,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]"
