,audio_file,duration,peak_amplitude,peak_freq_resolution,peak_frequency,region_id,rms,start,stop,terminal_frequency,terminal_frequency_threshold
0,segment_matching_annotaudio_Aditya_2018-08-17_12_117_hp,0.000468,0.007568359375,4237.28813559322,113247.86324786325,cf1,0.004036876264002118,0.000156,0.000624,104700.8547008547,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_12_117_hp,0.00114,0.027679443359375,1748.2517482517483,109649.12280701754,fm1,0.012428067255070046,0.000624,0.001764,107894.73684210527,-10
2,segment_matching_annotaudio_Aditya_2018-08-17_12_117_hp,0.019612,0.06689453125,101.95758564437195,112278.1970222313,cf2,0.03278665274601467,0.001764,0.021376,112227.20783193964,-10
3,segment_matching_annotaudio_Aditya_2018-08-17_12_117_hp,0.000224,0.0450439453125,8620.689655172413,111607.14285714287,fm2,0.02906730688233979,0.021376,0.0216,107142.85714285716,-10
4,segment_matching_annotaudio_Aditya_2018-08-17_12_117_hp,0.000228,0.033294677734375,8620.689655172413,109649.12280701756,cf3,0.015944683845322927,0.0216,0.021828,105263.15789473685,-10
5,segment_matching_annotaudio_Aditya_2018-08-17_12_117_hp,0.00046,0.065338134765625,4310.3448275862065,110869.56521739131,fm3,0.03120222677137399,0.021828,0.022288,102173.91304347827,-10
6,segment_matching_annotaudio_Aditya_2018-08-17_12_117_hp,0.000224,0.05615234375,8620.689655172413,111607.14285714287,cf4,0.02637982507131041,0.022288,0.022512,89285.71428571429,-10
7,segment_matching_annotaudio_Aditya_2018-08-17_12_117_hp,0.000488,0.031890869140625,4032.2580645161293,112704.9180327869,fm4,0.016083342742628928,0.022512,0.023,104508.19672131148,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_12_50_hp,0.001904,0.019683837890625,1046.0251046025105,103466.38655462186,fm1,0.00785842699913505,0.0,0.001904,97689.0756302521,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_12_50_hp,0.021004,0.048370361328125,95.2018278750952,104837.1738716435,cf1,0.023127094250434826,0.001904,0.022908,104646.73395543707,-10
2,segment_matching_annotaudio_Aditya_2018-08-17_12_50_hp,0.001088,0.011962890625,1824.8175182481752,102941.17647058824,fm2,0.005760679978570874,0.022908,0.023996,97426.4705882353,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_12_100_hp,0.01562,0.0384521484375,128.00819252432154,104993.59795134443,cf1,0.018995969021173346,0.001916,0.017536,104993.59795134443,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_12_100_hp,0.000184,0.021484375,10416.666666666666,108695.65217391304,fm1,0.01268013394446699,0.017536,0.01772,97826.08695652173,-10
2,segment_matching_annotaudio_Aditya_2018-08-17_12_100_hp,0.00038,0.0135498046875,5208.333333333333,102631.57894736843,cf2,0.00651530074242316,0.01772,0.0181,97368.42105263159,-10
3,segment_matching_annotaudio_Aditya_2018-08-17_12_100_hp,0.000184,0.023193359375,10416.666666666666,108695.65217391304,fm2,0.013546946725100213,0.0181,0.018284,92391.30434782608,-10
4,segment_matching_annotaudio_Aditya_2018-08-17_12_100_hp,0.000376,0.028717041015625,5208.333333333333,103723.40425531915,cf3,0.018552539472563613,0.018284,0.01866,101063.82978723405,-10
5,segment_matching_annotaudio_Aditya_2018-08-17_12_100_hp,0.000192,0.02362060546875,10000.0,109375.0,fm3,0.013880198379093153,0.01866,0.018852,98958.33333333333,-10
6,segment_matching_annotaudio_Aditya_2018-08-17_12_100_hp,0.000188,0.01416015625,10416.666666666666,101063.82978723405,cf4,0.005779719169240168,0.018852,0.01904,95744.68085106384,-10
7,segment_matching_annotaudio_Aditya_2018-08-17_12_100_hp,0.001776,0.0255126953125,1121.0762331838564,105292.7927927928,fm4,0.010232623895359397,0.01904,0.020816,94594.59459459459,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_12_108_hp,0.01672,0.040069580078125,119.56001912960306,104724.88038277513,cf1,0.01711171827101619,0.001,0.01772,104545.45454545454,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_12_74_hp,0.017484,0.075103759765625,114.36413540713632,105525.05147563487,cf1,0.03661618191568664,0.000868,0.018352,105582.24662548616,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_12_74_hp,0.001816,0.045013427734375,1096.4912280701753,96916.29955947137,fm1,0.019838443964972963,0.018352,0.020168,90859.03083700441,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_12_29_hp,0.000752,0.00970458984375,2631.5789473684213,99734.0425531915,fm1,0.004688717573215637,0.00078,0.001532,97074.46808510639,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_12_29_hp,0.034956,0.03521728515625,57.20823798627002,102614.71564252202,cf1,0.017837273357280425,0.001532,0.036488,102471.67868177136,-10
2,segment_matching_annotaudio_Aditya_2018-08-17_12_29_hp,0.001376,0.0167236328125,1445.086705202312,101017.44186046513,fm2,0.007788997050941528,0.036488,0.037864,91569.76744186047,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_12_121_hp,0.001336,0.0303955078125,1488.095238095238,109281.4371257485,fm1,0.01134899497459352,0.0,0.001336,101796.40718562875,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_12_121_hp,0.00066,0.05419921875,3012.0481927710844,107575.75757575758,cf1,0.024141166566275383,0.001336,0.001996,106060.60606060606,-10
2,segment_matching_annotaudio_Aditya_2018-08-17_12_121_hp,0.000656,0.062896728515625,3012.0481927710844,111280.48780487804,fm2,0.0353070333882472,0.001996,0.002652,109756.0975609756,-10
3,segment_matching_annotaudio_Aditya_2018-08-17_12_121_hp,0.06138,0.165771484375,32.58178026847387,112398.17530140112,cf2,0.07233143106847419,0.002652,0.064032,112316.71554252201,-10
4,segment_matching_annotaudio_Aditya_2018-08-17_12_121_hp,0.001972,0.0528564453125,1012.1457489878543,109533.46855983774,fm3,0.016524572345035418,0.064032,0.066004,102941.17647058825,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_12_71_hp,0.020156,0.042388916015625,99.2063492063492,104633.8559237944,cf1,0.01957111416253334,0.000604,0.02076,104633.8559237944,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_12_71_hp,0.00122,0.02423095703125,1633.986928104575,103278.68852459016,fm1,0.01054146905476867,0.02076,0.02198,93442.62295081967,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_12_114_hp,0.013848,0.05072021484375,144.3418013856813,105069.32409012131,cf1,0.025392623296670688,0.00742,0.021268,104924.89890236857,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_12_114_hp,0.001732,0.08551025390625,1152.073732718894,103348.72979214783,fm1,0.03453948599183073,0.021268,0.023,88914.5496535797,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_12_8_hp,0.013264,0.05950927734375,150.69318866787222,104417.97346200241,cf1,0.032442813462086065,0.000936,0.0142,104267.18938480096,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_12_8_hp,0.001412,0.041229248046875,1412.4293785310736,102691.21813031164,fm1,0.017844665503919516,0.0142,0.015612,94192.63456090653,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_12_110_hp,0.000936,0.032379150390625,2118.64406779661,104700.8547008547,fm1,0.016544620776063106,0.0,0.000936,98290.59829059828,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_12_110_hp,0.04416,0.148284912109375,45.28165187466039,105887.6811594203,cf1,0.06251828967759251,0.000936,0.045096,105819.7463768116,-10
2,segment_matching_annotaudio_Aditya_2018-08-17_12_110_hp,0.000456,0.023162841796875,4310.3448275862065,100877.19298245615,fm2,0.01187191972393593,0.045096,0.045552,96491.22807017545,-10
3,segment_matching_annotaudio_Aditya_2018-08-17_12_110_hp,0.000448,0.015869140625,4385.964912280701,107142.85714285716,cf2,0.007249884089620337,0.045552,0.046,104910.71428571429,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_12_76_hp,0.000476,0.02252197265625,4166.666666666667,107142.85714285716,fm1,0.009472018804304864,1.6e-05,0.000492,102941.17647058825,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_12_76_hp,0.000236,0.017974853515625,8333.333333333334,84745.7627118644,cf1,0.010170117022943684,0.000492,0.000728,101694.91525423729,-10
2,segment_matching_annotaudio_Aditya_2018-08-17_12_76_hp,0.000228,0.02899169921875,8620.689655172413,109649.12280701756,fm2,0.016530676875921822,0.000728,0.000956,100877.19298245615,-10
3,segment_matching_annotaudio_Aditya_2018-08-17_12_76_hp,0.020184,0.086944580078125,99.04912836767036,108402.69520412208,cf2,0.03901157393407416,0.000956,0.02114,108154.97423701943,-10
4,segment_matching_annotaudio_Aditya_2018-08-17_12_76_hp,0.00212,0.041015625,939.8496240601504,108962.2641509434,fm3,0.016867308026910895,0.02114,0.02326,92924.52830188679,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_12_53_hp,0.000992,0.063201904296875,2000.0,99798.38709677418,fm1,0.038609419809389055,0.000876,0.001868,94758.06451612903,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_12_53_hp,0.021956,0.212249755859375,91.07468123861567,104754.96447440334,cf1,0.11389890611236356,0.001868,0.023824,104572.78192749133,-10
2,segment_matching_annotaudio_Aditya_2018-08-17_12_53_hp,0.001624,0.15606689453125,1225.4901960784314,96674.87684729064,fm2,0.07342052622709688,0.023824,0.025448,90517.24137931035,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_12_68_hp,0.00168,0.0203857421875,1184.8341232227488,102976.19047619049,fm1,0.008590022585398784,0.000448,0.002128,92857.14285714287,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_12_68_hp,0.01726,0.0360107421875,115.84800741427247,104982.61877172654,cf1,0.016334361175897875,0.002128,0.019388,104924.68134414832,-10
2,segment_matching_annotaudio_Aditya_2018-08-17_12_68_hp,0.00188,0.014434814453125,1059.322033898305,92553.1914893617,fm2,0.005405711431375716,0.019388,0.021268,89361.70212765958,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_12_77_hp,0.016756,0.15570068359375,119.33174224343675,107483.88636906183,cf1,0.07443987266519167,0.001228,0.017984,107364.5261398902,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_12_77_hp,0.001968,0.0689697265625,1012.1457489878543,104674.79674796748,fm1,0.030703781302874655,0.017984,0.019952,98069.10569105692,-10
0,segment_matching_annotaudio_Aditya_2018-08-17_12_39_hp,0.001016,0.028594970703125,1953.125,97440.94488188977,fm1,0.015387963388802058,0.0001,0.001116,97440.94488188977,-10
1,segment_matching_annotaudio_Aditya_2018-08-17_12_39_hp,0.048,0.076080322265625,41.65972337943676,104770.83333333333,cf1,0.03095728494663557,0.001116,0.049116,104583.33333333333,-10
2,segment_matching_annotaudio_Aditya_2018-08-17_12_39_hp,0.001192,0.0130615234375,1666.6666666666667,103187.91946308725,fm2,0.006582416077000482,0.049116,0.050308,96476.5100671141,-10
