,audio_path,start,stop,skip,segment_method,signal_level,tfr_cliprange,measurements,window_size,extrap_window,max_acc,fmrate_threshold
0,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_1_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
1,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_2_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
2,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_7_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-55,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
3,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_12_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-44,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
4,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_18_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-50,50,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
5,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_19_hp.WAV,DEFAULT,DEFAULT,TRUE,pwvd,-60,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
6,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_20_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-34,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
7,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_22_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-34,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
8,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_32_hp.WAV,DEFAULT,DEFAULT,TRUE,pwvd,-40,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
9,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_35_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-46,46,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
10,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_36_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-46,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
11,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_39_hp.WAV,DEFAULT,DEFAULT,TRUE,pwvd,-40,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
12,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_40_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,50,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
13,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_41_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,46,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
14,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_43_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
15,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_49_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
16,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_52_hp.WAV,DEFAULT,DEFAULT,TRUE,pwvd,-40,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
17,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_53_hp.WAV,DEFAULT,DEFAULT,TRUE,pwvd,-46,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
18,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_54_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
19,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_56_hp.WAV,DEFAULT,DEFAULT,TRUE,pwvd,-40,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
20,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_64_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
21,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_65_hp.WAV,DEFAULT,0.02464,DEFAULT,pwvd,-40,42,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
22,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_69_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-42,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
23,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_71_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,30,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
24,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_72_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,42,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
25,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_77_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
26,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_78_hp.WAV,DEFAULT,0.03585,DEFAULT,pwvd,-43,48,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
27,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_79_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
28,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_81_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
29,../../hp_ind_calls/2018-08-17_0300-0400/segment_matching_annotaudio_Aditya_2018-08-17_34_111_hp.WAV,DEFAULT,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
