,audio_path,segment_method,signal_level,tfr_cliprange,measurements,stop,window_size,extrap_window,max_acc,fmrate_threshold
0,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_33_hp.WAV,pwvd,-50,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
1,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_231_hp.WAV,pwvd,-46,30,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
2,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_189_hp.WAV,pwvd,-50,36,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
3,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_113_hp.WAV,pwvd,-46,50,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
4,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_1_hp.WAV,pwvd,-46,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
5,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_22_hp.WAV,pwvd,-46,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
6,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_100_hp.WAV,pwvd,-46,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
7,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_122_hp.WAV,pwvd,-48,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",0.019,375,5E-05,3,2
8,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_25_hp.WAV,pwvd,-43,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
9,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_270_hp.WAV,pwvd,-40,36,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
10,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_124_hp.WAV,pwvd,-50,46,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
11,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_141_hp.WAV,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
12,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_326_hp.WAV,pwvd,-40,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
13,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_348_hp.WAV,pwvd,-50,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
14,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_322_hp.WAV,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
15,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_340_hp.WAV,pwvd,-50,46,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
16,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_203_hp.WAV,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
17,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_126_hp.WAV,pwvd,-40,30,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
18,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_118_hp.WAV,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
19,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_173_hp.WAV,pwvd,-52,46,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
20,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_116_hp.WAV,pwvd,-46,36,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
21,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_162_hp.WAV,pwvd,-46,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
22,../../hp_ind_calls/2018-08-17_0400-0500/segment_matching_annotaudio_Aditya_2018-08-17_45_117_hp.WAV,pwvd,-40,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",DEFAULT,375,5E-05,3,2
