,audio_file,duration,peak_amplitude,peak_freq_resolution,peak_frequency,region_id,rms,start,stop,terminal_frequency,terminal_frequency_threshold
0,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_1_hp,0.001356,0.014862060546875,1470.5882352941176,102507.37463126844,fm1,0.0072588629377283815,7.2e-05,0.001428,93657.81710914454,-10
1,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_1_hp,0.024116,0.04144287109375,82.91873963515755,104412.00862497928,cf1,0.0181102761754101,0.001428,0.025544,104287.60988555317,-10
2,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_1_hp,0.001476,0.014617919921875,1351.3513513513512,102981.0298102981,fm2,0.007024108705591529,0.025544,0.02702,92140.92140921409,-10
0,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_8_hp,0.001356,0.09100341796875,1470.5882352941176,108407.07964601771,fm1,0.04106886181476489,0.000668,0.002024,105457.22713864307,-10
1,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_8_hp,0.031248,0.226715087890625,63.9877143588431,109767.02508960576,cf1,0.1211472400203361,0.002024,0.033272,109639.01689708143,-10
2,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_8_hp,0.001328,0.07757568359375,1497.005988023952,106174.69879518072,fm2,0.036311508147336656,0.033272,0.0346,99397.59036144578,-10
0,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_13_hp,0.000864,0.027496337890625,2293.577981651376,106481.48148148147,fm1,0.011373027610290572,0.000796,0.00166,100694.44444444444,-10
1,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_13_hp,0.040704,0.1053466796875,49.12556494399686,108367.7279874214,cf1,0.04890307313241063,0.00166,0.042364,108343.16037735851,-10
2,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_13_hp,0.001212,0.032440185546875,1644.7368421052631,106435.64356435643,fm2,0.016694382171865692,0.042364,0.043576,99009.900990099,-10
0,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_14_hp,0.001296,0.018951416015625,1533.7423312883436,107253.0864197531,fm1,0.011757067350903174,0.00028,0.001576,96450.61728395063,-10
1,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_14_hp,0.04066,0.068572998046875,49.18355301987015,109444.17117560256,cf1,0.030056266191304252,0.001576,0.042236,109345.79439252337,-10
2,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_14_hp,0.001056,0.016754150390625,1879.6992481203008,107007.57575757577,fm2,0.0082141886589689,0.042236,0.043292,96590.9090909091,-10
0,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_19_hp,0.001032,0.0355224609375,1923.076923076923,104651.1627906977,fm1,0.018044090315062492,0.000804,0.001836,96899.22480620156,-10
1,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_19_hp,0.018564,0.06402587890625,107.7121930202499,106927.38633915105,cf1,0.03320127216605795,0.001836,0.0204,106711.91553544495,-10
2,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_19_hp,0.001072,0.027587890625,1851.851851851852,103544.77611940299,fm2,0.013030342613994746,0.0204,0.021472,97014.92537313432,-10
0,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_20_hp,0.000648,0.040557861328125,3048.7804878048782,106481.4814814815,fm1,0.025032148742402692,0.001056,0.001704,103395.06172839509,-10
1,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_20_hp,0.030016,0.141082763671875,66.61337596589395,107342.75053304904,cf1,0.06151239170642801,0.001704,0.03172,107276.11940298507,-10
2,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_20_hp,0.000988,0.056549072265625,2016.1290322580646,107287.44939271256,fm2,0.032757621173786125,0.03172,0.032708,102226.72064777328,-10
0,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_21_hp,0.000968,0.06768798828125,2049.1803278688526,105371.90082644628,fm1,0.044370312615300424,0.001632,0.0026,95041.32231404958,-10
