,audio_path,start,stop,segment_method,signal_level,tfr_cliprange,measurements,window_size,extrap_window,max_acc,fmrate_threshold
0,../../hp_ind_calls/2018-08-20_0200-0300/segment_matching_annotaudio_Aditya_2018-08-20_0200-0300_11_hp.WAV,DEFAULT,DEFAULT,pwvd,-52,42,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
1,../../hp_ind_calls/2018-08-20_0200-0300/segment_matching_annotaudio_Aditya_2018-08-20_0200-0300_16_hp.WAV,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
2,../../hp_ind_calls/2018-08-20_0200-0300/segment_matching_annotaudio_Aditya_2018-08-20_0200-0300_18_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,34,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
3,../../hp_ind_calls/2018-08-20_0200-0300/segment_matching_annotaudio_Aditya_2018-08-20_0200-0300_23_hp.WAV,0.000375,0.0265,pwvd,-50,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
4,../../hp_ind_calls/2018-08-20_0200-0300/segment_matching_annotaudio_Aditya_2018-08-20_0200-0300_38_hp.WAV,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
5,../../hp_ind_calls/2018-08-20_0200-0300/segment_matching_annotaudio_Aditya_2018-08-20_0200-0300_39_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
6,../../hp_ind_calls/2018-08-20_0200-0300/segment_matching_annotaudio_Aditya_2018-08-20_0200-0300_43_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
7,../../hp_ind_calls/2018-08-20_0200-0300/segment_matching_annotaudio_Aditya_2018-08-20_0200-0300_54_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,DEFAULT,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
8,../../hp_ind_calls/2018-08-20_0200-0300/segment_matching_annotaudio_Aditya_2018-08-20_0200-0300_61_hp.WAV,DEFAULT,DEFAULT,pwvd,-40,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
9,../../hp_ind_calls/2018-08-20_0200-0300/segment_matching_annotaudio_Aditya_2018-08-20_0200-0300_64_hp.WAV,DEFAULT,DEFAULT,pwvd,-46,40,"[measure_peak_amplitude, measure_peak_frequency, measure_rms, measure_terminal_frequency]",375,5E-05,3,2
