,start,stop,duration,peak_amplitude,peak_frequency,peak_freq_resolution,rms,terminal_frequency,terminal_frequency_threshold,region_id,audio_file,num_bats,video_annot_id
0,0.0,0.001556,0.001556,0.261932373046875,103470.43701799486,1282.051282051282,0.1289179723452825,93830.33419023137,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-16_21502300_100,2,Aditya_2018-08-16_21502300_100
1,0.001556,0.019152,0.017596,0.408843994140625,105876.33553080246,113.63636363636364,0.17379110909417733,105705.84223687202,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-16_21502300_100,2,Aditya_2018-08-16_21502300_100
2,0.019152,0.022004,0.002852,0.116912841796875,93267.88218793829,700.2801120448179,0.06404387433951209,92566.61991584854,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-16_21502300_100,2,Aditya_2018-08-16_21502300_100
0,0.0,0.003328,0.003328,0.119781494140625,98257.21153846153,599.5203836930456,0.04365165654847601,89242.78846153845,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-16_2324_154,1,Aditya_2018-08-16_2324_154
1,0.003328,0.0335,0.030172,0.165740966796875,107715.76295903488,66.27783669141039,0.07877313426059668,107284.89990719873,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-16_2324_154,1,Aditya_2018-08-16_2324_154
2,0.0335,0.037,0.0035,0.141815185546875,99714.28571428571,570.7762557077625,0.05317880121080285,88285.71428571429,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_154,1,Aditya_2018-08-16_2324_154
0,0.0,0.001056,0.001056,0.024139404296875,105113.63636363638,1879.6992481203008,0.00837164901716982,101325.7575757576,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-16_2324_204,1,Aditya_2018-08-16_2324_204
1,0.001056,0.019564,0.018508,0.070220947265625,106548.51955910957,108.038029386344,0.036159678111247553,106440.45818024638,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-16_2324_204,1,Aditya_2018-08-16_2324_204
2,0.019564,0.021,0.001436,0.050079345703125,106545.96100278552,1388.888888888889,0.0212982988833377,98885.7938718663,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_204,1,Aditya_2018-08-16_2324_204
0,0.0,0.003472,0.003472,0.074676513671875,102246.54377880185,574.7126436781609,0.029604896453214073,89861.75115207373,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-16_2324_207,2,Aditya_2018-08-16_2324_207
1,0.003472,0.018372,0.0149,0.135467529296875,104362.41610738255,134.19216317767044,0.06368491581755172,104161.07382550336,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-16_2324_207,2,Aditya_2018-08-16_2324_207
2,0.018372,0.022,0.003628,0.098175048828125,88754.13450937156,550.6607929515418,0.03898341842934388,88202.86659316429,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_207,2,Aditya_2018-08-16_2324_207
0,0.0,0.001488,0.001488,0.027801513671875,103494.623655914,1336.8983957219252,0.012534261815131504,45698.9247311828,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-16_2324_214,1,Aditya_2018-08-16_2324_214
1,0.001488,0.034608,0.03312,0.135894775390625,106370.77294685991,60.371890847621344,0.05769845401042112,106310.38647342997,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-16_2324_214,1,Aditya_2018-08-16_2324_214
2,0.034608,0.03692,0.002312,0.031524658203125,106833.91003460207,862.0689655172414,0.01105737195400465,95155.70934256056,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_214,1,Aditya_2018-08-16_2324_214
0,0.0,0.001488,0.001488,0.027801513671875,103494.623655914,1336.8983957219252,0.012534261815131504,45698.9247311828,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-16_2324_215,1,Aditya_2018-08-16_2324_215
1,0.001488,0.034608,0.03312,0.135894775390625,106370.77294685991,60.371890847621344,0.05769845401042112,106310.38647342997,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-16_2324_215,1,Aditya_2018-08-16_2324_215
