,start,stop,duration,peak_amplitude,peak_frequency,peak_freq_resolution,rms,terminal_frequency,terminal_frequency_threshold,region_id,audio_file,num_bats,video_annot_id
0,0.0,0.001556,0.001556,0.25933837890625,103470.43701799486,1282.051282051282,0.12597613578698727,93830.33419023137,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-16_21502300_100_hp,2,Aditya_2018-08-16_21502300_100
1,0.001556,0.019152,0.017596,0.406402587890625,105876.33553080246,113.63636363636364,0.1724717169934754,105705.84223687202,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-16_21502300_100_hp,2,Aditya_2018-08-16_21502300_100
2,0.019152,0.022004,0.002852,0.110443115234375,93267.88218793829,700.2801120448179,0.06158563532098238,92566.61991584854,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-16_21502300_100_hp,2,Aditya_2018-08-16_21502300_100
0,0.001288,0.016604,0.015316,0.052093505859375,105379.9947767041,130.54830287206266,0.02548251934466438,105184.12118046486,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-16_21502300_102_hp,1,Aditya_2018-08-16_21502300_102
1,0.016604,0.019488,0.002884,0.0428466796875,103675.45076282941,692.5207756232687,0.015163151758899544,88765.60332871013,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-16_21502300_102_hp,1,Aditya_2018-08-16_21502300_102
0,0.000124,0.000476,0.000352,0.007904052734375,107954.54545454546,5555.555555555556,0.004059586159392402,96590.90909090909,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-16_2324_14_hp,1,Aditya_2018-08-16_2324_14
1,0.000476,0.01442,0.013944,0.037750244140625,106712.56454388985,143.348623853211,0.01697470710760531,106569.13367756741,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-16_2324_14_hp,1,Aditya_2018-08-16_2324_14
2,0.01442,0.016972,0.002552,0.029327392578125,106191.2225705329,781.25,0.010122916235117916,92868.33855799373,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_14_hp,1,Aditya_2018-08-16_2324_14
0,0.00098,0.010764,0.009784,0.03839111328125,102309.89370400655,204.2483660130719,0.017029902758711534,102105.47833197057,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-16_2324_148_hp,1,Aditya_2018-08-16_2324_148
1,0.010764,0.0142,0.003436,0.0345458984375,102444.70314318978,581.3953488372093,0.013578001484352002,89057.0430733411,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-16_2324_148_hp,1,Aditya_2018-08-16_2324_148
0,0.001048,0.0032,0.002152,0.115997314453125,98977.69516728626,925.925925925926,0.050982226666962796,90148.69888475837,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-16_2324_154_hp,1,Aditya_2018-08-16_2324_154
1,0.0032,0.033456,0.030256,0.164337158203125,107681.12109994712,66.08511763150939,0.07827693135520976,107317.55684822846,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-16_2324_154_hp,1,Aditya_2018-08-16_2324_154
2,0.033456,0.0368,0.003344,0.136871337890625,104964.1148325359,596.6587112171837,0.05307394897512237,88217.70334928231,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_154_hp,1,Aditya_2018-08-16_2324_154
0,0.000988,0.0035,0.002512,0.073638916015625,102707.00636942674,793.6507936507936,0.03374308027927146,90366.24203821656,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-16_2324_207_hp,2,Aditya_2018-08-16_2324_207
1,0.0035,0.018268,0.014768,0.1307373046875,104347.23726977248,135.3546291283162,0.06312979395404943,104144.09534127844,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-16_2324_207_hp,2,Aditya_2018-08-16_2324_207
2,0.018268,0.021828,0.00356,0.091949462890625,92134.83146067416,560.5381165919282,0.037506147486401395,88202.24719101124,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_207_hp,2,Aditya_2018-08-16_2324_207
0,0.000932,0.003148,0.002216,0.211395263671875,101083.03249097473,899.2805755395683,0.08351274949747228,91155.2346570397,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-16_2324_223_hp,2,Aditya_2018-08-16_2324_223
1,0.003148,0.020304,0.017156,0.362152099609375,104278.38657029612,116.55011655011656,0.19848683659683575,104278.38657029612,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-16_2324_223_hp,2,Aditya_2018-08-16_2324_223
2,0.020304,0.02318,0.002876,0.2000732421875,101529.90264255911,694.4444444444445,0.08706620343560906,87969.40194714883,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_223_hp,2,Aditya_2018-08-16_2324_223
0,0.000788,0.002548,0.00176,0.037353515625,101704.54545454547,1131.2217194570135,0.015419069253740765,95454.54545454547,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-16_2324_230_hp,1,Aditya_2018-08-16_2324_230
1,0.002548,0.04222,0.039672,0.0833740234375,103196.20891308732,50.403225806451616,0.03342242887597782,102893.72857430934,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-16_2324_230_hp,1,Aditya_2018-08-16_2324_230
2,0.04222,0.044676,0.002456,0.027374267578125,101791.53094462541,811.6883116883117,0.012564156424281712,88762.21498371336,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_230_hp,1,Aditya_2018-08-16_2324_230
0,0.000156,0.000596,0.00044,0.114013671875,104545.45454545456,4464.285714285715,0.05388192011312833,102272.72727272728,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-16_2324_258_hp,1,Aditya_2018-08-16_2324_258
1,0.000596,0.020096,0.0195,0.286651611328125,106871.79487179487,102.54306808859721,0.1405469770734672,106717.94871794872,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-16_2324_258_hp,1,Aditya_2018-08-16_2324_258
2,0.020096,0.021528,0.001432,0.113250732421875,106145.25139664806,1388.888888888889,0.040784147393590424,102653.6312849162,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_258_hp,1,Aditya_2018-08-16_2324_258
0,0.000196,0.012376,0.01218,0.077880859375,106650.24630541871,164.14970453053184,0.03756218550531112,106239.73727422002,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-16_2324_28_hp,2,Aditya_2018-08-16_2324_28
1,0.012376,0.015944,0.003568,0.14471435546875,93890.13452914797,559.2841163310962,0.06080837391974553,90526.9058295964,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-16_2324_28_hp,2,Aditya_2018-08-16_2324_28
0,0.000648,0.002464,0.001816,0.0469970703125,100220.26431718063,1096.4912280701753,0.0190763789063178,90308.37004405288,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-16_2324_68_hp,1,Aditya_2018-08-16_2324_68
1,0.002464,0.02856,0.026096,0.103240966796875,103157.57204169221,76.6166104811523,0.0468981302098035,103080.93194359289,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-16_2324_68_hp,1,Aditya_2018-08-16_2324_68
