video_path,annotation_id,Sampling minute,timestamp from camera,start_timestamp,start_framenumber,end_timestamp,end_framenumber,no. of flying bats,bat behaviour,"strength (1 - strong, 0-weak)","weak in (Behaviour Be, Number Bn)",Comments,Details on the comment,annotator
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_1,2,2,2018-08-17 02:02:52,4,2018-08-17 02:02:53,15,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_2,4,2,2018-08-17 02:04:51,15,2018-08-17 02:04:52,15,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_3,5,2,2018-08-17 02:05:24,9,2018-08-17 02:05:24,16,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_4,5,2,2018-08-17 02:05:27,2,2018-08-17 02:05:27,23,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_5,5,2,2018-08-17 02:05:42,16,2018-08-17 02:05:43,1,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_6,5,2,2018-08-17 02:05:55,8,2018-08-17 02:05:56,7,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_7,6,2,2018-08-17 02:06:16,5,2018-08-17 02:06:16,21,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_8,6,2,2018-08-17 02:06:27,14,2018-08-17 02:06:29,16,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_9,6,2,2018-08-17 02:06:41,14,2018-08-17 02:06:42,24,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_10,6,2,2018-08-17 02:06:54,9,2018-08-17 02:06:54,24,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_11,7,2,2018-08-17 02:07:03,22,2018-08-17 02:07:04,5,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_12,7,2,2018-08-17 02:07:04,11,2018-08-17 02:07:04,19,2,T,1.0,,There is a 2 bat and 1 bat situation after this. This is not considered lacking a lot of frames,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_13,7,2,2018-08-17 02:07:09,12,2018-08-17 02:07:09,22,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_14,7,2,2018-08-17 02:07:10,4,2018-08-17 02:07:11,14,2,T,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_15,7,2,2018-08-17 02:07:12,8,2018-08-17 02:07:12,15,1,,1.0,,Lasting only a few frames,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_16,7,2,2018-08-17 02:07:15,6,2018-08-17 02:07:25,3,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_17,7,2,2018-08-17 02:07:25,25,2018-08-17 02:07:27,12,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_18,7,2,2018-08-17 02:07:27,19,2018-08-17 02:07:31,4,2,"T,P",1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_19,7,2,2018-08-17 02:07:31,11,2018-08-17 02:07:31,19,1,,1.0,,Lasting only a few frames,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_20,7,2,2018-08-17 02:07:32,1,2018-08-17 02:07:36,1,2,"T,P",1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_21,7,2,2018-08-17 02:07:36,8,2018-08-17 02:07:36,17,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_22,7,2,2018-08-17 02:07:36,24,2018-08-17 02:07:40,11,2,"T,P",1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_23,7,2,2018-08-17 02:07:40,18,2018-08-17 02:07:52,5,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_24,7,2,2018-08-17 02:07:52,12,2018-08-17 02:07:53,16,2,T,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_25,7,2,2018-08-17 02:07:53,23,2018-08-17 02:07:54,4,1,,0.0,,Only a few frames.,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_26,9,2,2018-08-17 02:09:41,13,2018-08-17 02:09:44,1,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_27,10,2,2018-08-17 02:10:14,20,2018-08-17 02:10:15,4,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_28,10,2,2018-08-17 02:10:21,8,2018-08-17 02:10:22,16,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_29,11,2,2018-08-17 02:11:46,24,2018-08-17 02:11:47,14,1,,0.0,Bn,"Another bat enters the cave at the frame the first bat exits., But as per the buffer zone criteria, this has not been included as a 2 bat situation",,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_30,11,2,2018-08-17 02:11:47,21,2018-08-17 02:11:48,10,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_31,12,2,2018-08-17 02:12:05,10,2018-08-17 02:12:05,19,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_32,12,2,2018-08-17 02:12:06,1,2018-08-17 02:12:08,1,2,T,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_33,12,2,2018-08-17 02:12:08,8,2018-08-17 02:12:09,1,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_34,12,2,2018-08-17 02:12:13,14,2018-08-17 02:12:15,13,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_35,12,2,2018-08-17 02:12:23,13,2018-08-17 02:12:24,13,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_36,13,2,2018-08-17 02:13:33,17,2018-08-17 02:13:34,15,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_37,13,2,2018-08-17 02:13:46,13,2018-08-17 02:13:47,12,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_38,14,2,2018-08-17 02:14:01,16,2018-08-17 02:14:02,17,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_39,14,2,2018-08-17 02:14:31,22,2018-08-17 02:14:35,2,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_40,14,2,2018-08-17 02:14:35,13,2018-08-17 02:14:35,16,1,,0.0,,Only a few frames.,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_41,14,2,2018-08-17 02:14:35,23,2018-08-17 02:14:36,7,2,T,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_42,14,2,2018-08-17 02:14:36,14,2018-08-17 02:14:36,16,3,T,0.0,,Only a few frames after the buffer zone.,,Aditya
OrlovaChukaDome_02_20180817_02.00.00-03.00.00[R][@1aba][0],Aditya_2018-08-17_23_43,14,2,2018-08-17 02:14:37,7,2018-08-17 02:14:38,22,1,,1.0,,,,Aditya
