video_path,annotation_id,Sampling minute,timestamp from camera,start_timestamp,start_framenumber,end_timestamp,end_framenumber,no. of flying bats,bat behaviour,"strength (1 - strong, 0-weak)","weak in (Behaviour Be, Number Bn)",Comments,Details on the comment,annotator
OrlovaChukaDome_02_20180817_03.00.00-04.00.00[R][@1e80][3],Aditya_2018-08-17_34_1,0,2,2018-08-17 03:00:22,22,2018-08-17 03:00:25,8,1,,1,1,,,Aditya
OrlovaChukaDome_02_20180817_03.00.00-04.00.00[R][@1e80][3],Aditya_2018-08-17_34_2,0,2,2018-08-17 03:00:37,11,2018-08-17 03:00:38,9,1,,1,1,,,Aditya
OrlovaChukaDome_02_20180817_03.00.00-04.00.00[R][@1e80][3],Aditya_2018-08-17_34_3,0,2,2018-08-17 03:00:42,8,2018-08-17 03:00:42,13,1,,1,1,,,Aditya
OrlovaChukaDome_02_20180817_03.00.00-04.00.00[R][@1e80][3],Aditya_2018-08-17_34_4,0,2,2018-08-17 03:00:42,20,2018-08-17 03:00:43,12,2,T,1,1,,,Aditya
OrlovaChukaDome_02_20180817_03.00.00-04.00.00[R][@1e80][3],Aditya_2018-08-17_34_5,0,2,2018-08-17 03:00:43,19,2018-08-17 03:00:43,24,1,,0,0,,Only a few frames,Aditya
OrlovaChukaDome_02_20180817_03.00.00-04.00.00[R][@1e80][3],Aditya_2018-08-17_34_6,2,2,2018-08-17 03:02:07,22,2018-08-17 03:02:08,6,1,,1,1,,,Aditya
OrlovaChukaDome_02_20180817_03.00.00-04.00.00[R][@1e80][3],Aditya_2018-08-17_34_7,2,2,2018-08-17 03:02:32,12,2018-08-17 03:02:33,18,1,,1,1,,,Aditya
OrlovaChukaDome_02_20180817_03.00.00-04.00.00[R][@1e80][3],Aditya_2018-08-17_34_8,2,2,2018-08-17 03:02:47,10,2018-08-17 03:02:47,24,1,,1,1,,,Aditya
OrlovaChukaDome_02_20180817_03.00.00-04.00.00[R][@1e80][3],Aditya_2018-08-17_34_9,3,2,2018-08-17 03:03:06,10,2018-08-17 03:03:07,23,1,,1,1,,,Aditya
OrlovaChukaDome_02_20180817_03.00.00-04.00.00[R][@1e80][3],Aditya_2018-08-17_34_10,4,2,2018-08-17 03:04:39,5,2018-08-17 03:04:40,17,1,,1,1,,,Aditya
