audio_annotation_file,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments
matching_annotaudio_Aditya_2018-08-17_45_1,0.58,1.044,L,55,0.052,0.071,22.02,0.082,0.092,
matching_annotaudio_Aditya_2018-08-17_45_2,0.5,NA,L,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_3,0.79,0.4424,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_45_4,0.55,NA,L,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_5,0.09,0.0612,R,NA,NA,NA,NA,NA,NA,No clear call. There is overlap of multiple HSB calls ( This is succeeded by a 2 bat situation)
matching_annotaudio_Aditya_2018-08-17_45_8,0.43,0.1548,L,NA,NA,NA,NA,NA,NA,No calls with good enough SNR
matching_annotaudio_Aditya_2018-08-17_45_9,0.98,NA,R,NA,NA,NA,NA,NA,NA,HSB calls at peak freq. of 80 kHz
matching_annotaudio_Aditya_2018-08-17_45_10,0.34,NA,L,NA,NA,NA,NA,NA,NA,HSB calls at peak freq. of 80 kHz
matching_annotaudio_Aditya_2018-08-17_45_22,0.9,0.54,R,70,0.343,0.36,25.36,0.325,0.338,
matching_annotaudio_Aditya_2018-08-17_45_24,0.42,1.2768,L,45,0.142,0.164,22.23,0.125,0.134,
matching_annotaudio_Aditya_2018-08-17_45_25,0.89,2.7412,L,50,2.691,2.724,25.32,2.751,2.761,
matching_annotaudio_Aditya_2018-08-17_45_26,0.67,NA,L,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_27,0.82,0.4592,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_45_28,0.44,,L,NA,NA,NA,NA,NA,NA,Wrong annotation
matching_annotaudio_Aditya_2018-08-17_45_29,0.61,0.7808,R,45,0.362,0.392,36.6,0.406,0.416,
matching_annotaudio_Aditya_2018-08-17_45_31,0.91,NA,R,NA,NA,NA,NA,NA,NA,2 bat situation between a myotis and HSB
matching_annotaudio_Aditya_2018-08-17_45_32,0.71,NA,L,NA,NA,NA,NA,NA,NA,2 bat situation between a myotis and HSB
matching_annotaudio_Aditya_2018-08-17_45_33,0.37,2.22,R,45,4.598,4.618,20.09,4.586,4.596,Not sure . There are 1-2 'pink' myotis calls
matching_annotaudio_Aditya_2018-08-17_45_48,0.98,NA,R,NA,NA,NA,NA,NA,NA,2 bat situation between a myotis and HSB
matching_annotaudio_Aditya_2018-08-17_45_49,0.85,NA,L,NA,NA,NA,NA,NA,NA,There are myotis calls + HSB calls
matching_annotaudio_Aditya_2018-08-17_45_50,0.93,NA,L,NA,NA,NA,NA,NA,NA,There are myotis calls + HSB calls. The bat goes into the roost for some time and then comes out. Another bat could have come out.
matching_annotaudio_Aditya_2018-08-17_45_51,0.62,1.0912,R,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_45_52,0.55,NA,R,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_53,0.62,NA,R,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_54,0.27,NA,R,NA,NA,NA,NA,NA,NA,HSB calls and prominent myotis calls towards the end- succeeding this is a 2 bat situation
matching_annotaudio_Aditya_2018-08-17_45_55,0.36,NA,R,NA,NA,NA,NA,NA,NA,2 bat situation involving a myotis and HSB
matching_annotaudio_Aditya_2018-08-17_45_56,0.11,0.1452,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_45_58,0.41,NA,R,NA,NA,NA,NA,NA,NA,There are myotis calls + HSB calls. The bat goes into the roost for some time and then comes out. Another bat could have come out.
matching_annotaudio_Aditya_2018-08-17_45_59,0.41,NA,L,NA,NA,NA,NA,NA,NA,Both HSB+ myotis calls present. There is only bat in the video.
matching_annotaudio_Aditya_2018-08-17_45_60,0.45,NA,L,NA,NA,NA,NA,NA,NA,HSB calls and prominent myotis calls towards the end- succeeding this is another one bat situation in a few frames
matching_annotaudio_Aditya_2018-08-17_45_61,0.4,NA,L,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_67,0.91,0.91,R,NA,NA,NA,NA,NA,NA,No calls with good enough SNR
matching_annotaudio_Aditya_2018-08-17_45_69,0.06,NA,R,NA,NA,NA,NA,NA,NA,Wrong video annotation. ONE SECOND EXTRA ADDED.
matching_annotaudio_Aditya_2018-08-17_45_70,0.84,NA,R,NA,NA,NA,NA,NA,NA,3-4 prominent myotis calls towards the end. There is only HSB flying.
matching_annotaudio_Aditya_2018-08-17_45_71,0.97,NA,L,NA,NA,NA,NA,NA,NA,Prominent myotis calls in between. There is only one bat flying in and out of the roost multiple times.
matching_annotaudio_Aditya_2018-08-17_45_78,0.27,NA,L,NA,NA,NA,NA,NA,NA,Prominent myotis calls + HSB calls. There is another one bat situation after this in a few frames. The calls of the second bat could be of this.
matching_annotaudio_Aditya_2018-08-17_45_85,0.05,NA,R,NA,NA,NA,NA,NA,NA,Prominent myotis calls + HSB calls. There is a two bat situation after this in a few frames. The calls of the second bat could be of this.
matching_annotaudio_Aditya_2018-08-17_45_86,0.86,NA,L,NA,NA,NA,NA,NA,NA,2 bat situation involving a myotis and HSB
matching_annotaudio_Aditya_2018-08-17_45_87,0.71,NA,L,NA,NA,NA,NA,NA,NA,"There is only one bat in the cave, going in and out of the roost. But there are myotis and HSB calls."
matching_annotaudio_Aditya_2018-08-17_45_90,0.39,NA,L,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_91,0.78,NA,L,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_92,0.64,NA,L,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_93,0.42,0.1512,R,NA,NA,NA,NA,NA,NA,No clear calls in Channel 1. Good calls in channel 2
matching_annotaudio_Aditya_2018-08-17_45_96,0.38,NA,R,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_45_99,0.1,0.24,R,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_45_100,0.38,0.5624,L,70,1.042,1.071,23.72,1.024,1.042,There is one 'pink' myotis call in between
matching_annotaudio_Aditya_2018-08-17_45_103,0.17,NA,R,NA,NA,NA,NA,NA,NA,2 bat situation involving a myotis and HSB. One bat has gone into the roost.
matching_annotaudio_Aditya_2018-08-17_45_104,0.49,NA,R,NA,NA,NA,NA,NA,NA,3 bat situation involving a myotis and HSB. One bat has gone into the roost.
matching_annotaudio_Aditya_2018-08-17_45_106,0.37,NA,L,NA,NA,NA,NA,NA,NA,2 bat situation involving a myotis and HSB. 
