audio_annotation_file,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments
matching_annotaudio_Aditya_2018-08-17_01_2,0.58,0.1392,L,60,0.35,0.55,25.79,0.061,0.065,The amplitude reduces towards the end of the CF and the terminal FM. Not sure if it occurs because of some interference
matching_annotaudio_Aditya_2018-08-17_01_3,0.5,0.24,R,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_01_4,0.79,1.2324,R,50,1.257,1.276,23.12,1.246,1.253,
matching_annotaudio_Aditya_2018-08-17_01_6,0.55,0.33,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_01_7,0.09,0.0252,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_01_8,0.43,0.3784,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_01_10,0.98,1.0976,R,70,0.939,0.958,27.34,0.922,0.938,
matching_annotaudio_Aditya_2018-08-17_01_11,0.34,0.3944,R,70,0.038,0.059,32.06,0.072,0.079,
matching_annotaudio_Aditya_2018-08-17_01_13,0.9,0.468,L,70,0.133,0.151,31.05,0.124,0.132,
matching_annotaudio_Aditya_2018-08-17_01_14,0.42,0.1848,L,NA,NA,NA,NA,NA,NA,Duplicate annotation
matching_annotaudio_Aditya_2018-08-17_01_15,0.89,0.8188,L,55,0.371,0.39,29.37,0.361,0.368,
matching_annotaudio_Aditya_2018-08-17_01_16,0.67,0.6164,R,NA,NA,NA,NA,NA,NA,Duplicate annotation
matching_annotaudio_Aditya_2018-08-17_01_17,0.82,0.14678,R,NA,NA,NA,NA,NA,NA,The calls of the next bat also present. Not annotated
matching_annotaudio_Aditya_2018-08-17_01_18,0.44,NA,R,NA,NA,NA,NA,NA,NA,Duplicate annotation
matching_annotaudio_Aditya_2018-08-17_01_19,0.61,0.2928,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_01_20,0.91,NA,L,NA,NA,NA,NA,NA,NA,Duplicate annotation
matching_annotaudio_Aditya_2018-08-17_01_21,0.71,0.8236,R,70,0.087,0.111,31.56,0.065,0.068,
matching_annotaudio_Aditya_2018-08-17_01_22,0.37,0.888,L,70,0.173,0.19,31.3,0.222,0.232,
