audio_annotation_file,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments
matching_annotaudio_Aditya_2018-08-17_56_1,0.31,0.2852,L,55,0.087,0.108,26.81,0.033,0.047,
matching_annotaudio_Aditya_2018-08-17_56_2,0.26,1.7992,L,NA,NA,NA,NA,NA,NA,No calls with good enough SNR
matching_annotaudio_Aditya_2018-08-17_56_4,0.55,NA,L,NA,NA,NA,NA,NA,NA,"2-3 prominent calls of myotis, although there is only 1 bat in the cave."
matching_annotaudio_Aditya_2018-08-17_56_5,0.06,NA,L,NA,NA,NA,NA,NA,NA,Only myotis calls
matching_annotaudio_Aditya_2018-08-17_56_6,27,1.1772,R,70,3.109,3.132,27.45,3.477,3.492,
matching_annotaudio_Aditya_2018-08-17_56_7,0.45,0.63,R,45,0.645,0.683,28.39,0.69,0.698,
matching_annotaudio_Aditya_2018-08-17_56_9,57,1.0488,L,60,0.563,0.606,22.68,0.553,0.562,
matching_annotaudio_Aditya_2018-08-17_56_10,96,NA,R,NA,NA,NA,NA,NA,NA,"myotis calls, although seems as if its flying outside the cave"
matching_annotaudio_Aditya_2018-08-17_56_11,59,0.6136,R,65,0.778,0.808,22.75,1.01,1.026,
matching_annotaudio_Aditya_2018-08-17_56_12,80,1.36,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_56_13,81,NA,R,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_56_14,0.46,NA,L,NA,NA,NA,NA,NA,NA,There are myotis+HSB calls. A 2 bat situation succeds this after a few frames.
matching_annotaudio_Aditya_2018-08-17_56_15,100,NA,R,NA,NA,NA,NA,NA,NA,Multiple bat situation with prominent HBC and Myotis calls
matching_annotaudio_Aditya_2018-08-17_56_16,0.77,NA,L,NA,NA,NA,NA,NA,NA,Myotis calls + faint HSB calls. A 2 bat situation preceeded this.
matching_annotaudio_Aditya_2018-08-17_56_17,0.35,NA,L,NA,NA,NA,NA,NA,NA,There are myotis+HSB calls. A 2 bat situation succeds this after a few frames.
matching_annotaudio_Aditya_2018-08-17_56_18,26,NA,L,NA,NA,NA,NA,NA,NA,Multiple bat situation with prominent HBC and Myotis calls
matching_annotaudio_Aditya_2018-08-17_56_19,0.51,NA,R,NA,NA,NA,NA,NA,NA,Myotis calls +  HSB calls. A 2 bat situation preceeded this.
matching_annotaudio_Aditya_2018-08-17_56_22,0.16,NA,L,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_56_23,31,0.1488,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_56_24,38,,L,NA,NA,NA,NA,NA,NA,Multiple bat situation with prominent HBC and Myotis calls
matching_annotaudio_Aditya_2018-08-17_56_26,0.57,0.0912,L,NA,NA,NA,NA,NA,NA,
matching_annotaudio_Aditya_2018-08-17_56_27,34,0.6392,L,60,0.085,0.108,29.11,0.222,0.24,
matching_annotaudio_Aditya_2018-08-17_56_28,0.79,NA,R,NA,NA,NA,NA,NA,NA,Myotis calls +  HSB calls. A 2 bat situation succeeds this.
matching_annotaudio_Aditya_2018-08-17_56_31,55,0.154,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_56_33,0.99,0.6336,L,50,0.07,0.086,24.89,0.247,0.254,
matching_annotaudio_Aditya_2018-08-17_56_34,0.25,NA,R,NA,NA,NA,NA,NA,NA,Only myotis calls
matching_annotaudio_Aditya_2018-08-17_56_35,0.93,NA,R,NA,NA,NA,NA,NA,NA,Prominent myotis calls. HSB calls towards the end.
matching_annotaudio_Aditya_2018-08-17_56_36,0.66,NA,L,NA,NA,NA,NA,NA,NA,Myotis calls +  HSB calls. A 2 bat situation succeeds this.
matching_annotaudio_Aditya_2018-08-17_56_37,39,NA,L,NA,NA,NA,NA,NA,NA,Prominent myotis calls
matching_annotaudio_Aditya_2018-08-17_56_38,70,NA,L,NA,NA,NA,NA,NA,NA,Multiple bat situation with prominent HBC and Myotis calls
matching_annotaudio_Aditya_2018-08-17_56_39,36,NA,L,NA,NA,NA,NA,NA,NA,Multiple bat situation with prominent HBC and Myotis calls
matching_annotaudio_Aditya_2018-08-17_56_40,95,NA,R,NA,NA,NA,NA,NA,NA,Multiple bat situation with prominent HBC and Myotis calls
matching_annotaudio_Aditya_2018-08-17_56_42,0.9,NA,L,NA,NA,NA,NA,NA,NA,Myotis calls +  HSB calls. A 2 bat situation succeeds this.
matching_annotaudio_Aditya_2018-08-17_56_43,84,NA,R,NA,NA,NA,NA,NA,NA,Multiple bat situation with prominent HBC and Myotis calls
matching_annotaudio_Aditya_2018-08-17_56_44,5,NA,R,NA,NA,NA,NA,NA,NA,Multiple bat situation with prominent HBC and Myotis calls
matching_annotaudio_Aditya_2018-08-17_56_46,97,NA,L,NA,NA,NA,NA,NA,NA,Only myotis calls
matching_annotaudio_Aditya_2018-08-17_56_48,81,NA,L,NA,NA,NA,NA,NA,NA,Myotis calls and faint HSB calls
matching_annotaudio_Aditya_2018-08-17_56_50,0.18,NA,L,NA,NA,NA,NA,NA,NA,"Myotis calls +  HSB calls, although there is only one bat in the view. The second call would be of the bat entering the cave in a few frame"
matching_annotaudio_Aditya_2018-08-17_56_52,39,NA,R,NA,NA,NA,NA,NA,NA,Prominent myotis calls + HSB calls
matching_annotaudio_Aditya_2018-08-17_56_54,8,NA,R,NA,NA,NA,NA,NA,NA,Multiple bat situation with prominent HBC and Myotis calls
matching_annotaudio_Aditya_2018-08-17_56_56,0.3,NA,R,NA,NA,NA,NA,NA,NA,"Myotis calls +  HSB calls, although there is only one bat in the view. The second call would be of the bat entering the cave in a few frame"
matching_annotaudio_Aditya_2018-08-17_56_57,95,,R,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_56_58,1,0.0028,L,70,0.091,0.108,33.07,0.191,0.199,Silent interval taken from Annotation_38. Not very confident. There are echoes before the call starts
matching_annotaudio_Aditya_2018-08-17_56_59,55,0.99,R,55,1.401,1.423,26.09,0.48,0.489,
matching_annotaudio_Aditya_2018-08-17_56_60,0.83,NA,L,NA,NA,NA,NA,NA,NA,"Myotis calls +  HSB calls, although there is only one bat in the view. The second call would be of the bat entering the cave in a few frame"
matching_annotaudio_Aditya_2018-08-17_56_62,0.56,0.1344,L,60,0.081,0.104,24.49,0.064,0.078,Seems as if there is a interference pattern. Not sure.
matching_annotaudio_Aditya_2018-08-17_56_63,0.43,NA,R,NA,NA,NA,NA,NA,NA,"Myotis calls +  HSB calls, although there is only one bat in the view. The second call would be of the bat entering the cave in a few frame"
matching_annotaudio_Aditya_2018-08-17_56_65,0.85,NA,R,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_56_67,2,NA,L,NA,NA,NA,NA,NA,NA,Multiple bat situation with prominent HBC and Myotis calls
matching_annotaudio_Aditya_2018-08-17_56_69,0.42,NA,R,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_56_70,0.58,NA,R,NA,NA,NA,NA,NA,NA,"Myotis calls +  HSB calls, although there is only one bat in the view. The second call would be of the bat entering the cave in a few frame"
matching_annotaudio_Aditya_2018-08-17_56_72,0.32,NA,R,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_56_73,50,NA,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_56_74,0.13,NA,R,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_56_75,0.94,NA,R,NA,NA,NA,NA,NA,NA,"HSB calls + prominent myotis calls towards the end, although there is only one bat in the view. The second call would be of the bat entering the cave in a few frame"
matching_annotaudio_Aditya_2018-08-17_56_77,84,NA,L,NA,NA,NA,NA,NA,NA,Prominent myotis calls + HSB calls
matching_annotaudio_Aditya_2018-08-17_56_78,0.65,0.806,L,40,0.205,0.228,33.52,0.25,0.272,
matching_annotaudio_Aditya_2018-08-17_56_81,0.4,NA,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_56_82,0.2,NA,R,NA,NA,NA,NA,NA,NA,"HSB calls + prominent myotis calls towards the end, although there is only one bat in the view. The second call would be of the bat entering the cave in a few frame"
matching_annotaudio_Aditya_2018-08-17_56_83,61,NA,R,NA,NA,NA,NA,NA,NA,Myotis calls and faint HSB calls
matching_annotaudio_Aditya_2018-08-17_56_87,3,NA,R,NA,NA,NA,NA,NA,NA,Prominent myotis calls + HSB calls
matching_annotaudio_Aditya_2018-08-17_56_88,0.87,NA,R,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_56_89,0.32,NA,R,NA,NA,NA,NA,NA,NA,Myotis + HSB calls
matching_annotaudio_Aditya_2018-08-17_56_90,0.73,0.2628,R,55,0.077,0.094,25.25,0.27,0.281,
