audio_annotation_file,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments
matching_annotaudio_Aditya_2018-08-19_0120-0200_1,0.52,0.52,L,60,0.387,0.415,24.06,0.428,0.435,
matching_annotaudio_Aditya_2018-08-19_0120-0200_2,0.6,NA,R,NA,NA,NA,NA,NA,NA,Fm+ HSB calls
matching_annotaudio_Aditya_2018-08-19_0120-0200_3,0.83,NA,L,NA,NA,NA,NA,NA,NA,2 bat situation between myotis and HSB. Faint myotis calls
matching_annotaudio_Aditya_2018-08-19_0120-0200_6,0.22,NA,R,NA,NA,NA,NA,NA,NA,FM calls only
matching_annotaudio_Aditya_2018-08-19_0120-0200_7,0.88,NA,L,NA,NA,NA,NA,NA,NA,FM calls only
matching_annotaudio_Aditya_2018-08-19_0120-0200_8,0.86,4.816,L,80,4.526,4.561,40.51,4.51,4.52,
matching_annotaudio_Aditya_2018-08-19_0120-0200_13,0.5,0.6,R,70,0.181,0.225,32.77,0.168,0.174,
matching_annotaudio_Aditya_2018-08-19_0120-0200_14,0.32,1.3568,L,60,3.281,3.325,28.59,3.268,3.277,
matching_annotaudio_Aditya_2018-08-19_0120-0200_15,0.22,NA,L,NA,NA,NA,NA,NA,NA,HSB calls of peak freq 80khz.
matching_annotaudio_Aditya_2018-08-19_0120-0200_16,0.23,NA,R,NA,NA,NA,NA,NA,NA,HSB calls of peak freq 80khz.
matching_annotaudio_Aditya_2018-08-19_0120-0200_18,0.82,0.2624,R,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-19_0120-0200_19,0.09,0.6624,R,65,0.697,0.719,29.56,0.687,0.695,
matching_annotaudio_Aditya_2018-08-19_0120-0200_20,0.1,0.444,R,65,0.445,0.479,34.79,0.52,0.543,
matching_annotaudio_Aditya_2018-08-19_0120-0200_21,0.72,0.4608,L,80,0.39,0.44,38.66,0.457,0.475,
matching_annotaudio_Aditya_2018-08-19_0120-0200_22,0.46,2.5392,R,80,5.045,5.102,38.97,5.029,5.038,
matching_annotaudio_Aditya_2018-08-19_0120-0200_23,0.27,0.648,R,80,2.116,2.164,22.42,2.174,2.189,
matching_annotaudio_Aditya_2018-08-19_0120-0200_24,0.47,1.8048,L,60,0.066,0.118,27.27,0.157,0.168,
matching_annotaudio_Aditya_2018-08-19_0120-0200_26,0.28,NA,L,NA,NA,NA,NA,NA,NA,FM calls only
matching_annotaudio_Aditya_2018-08-19_0120-0200_27,0.22,0.1056,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-19_0120-0200_28,0.46,0.8648,R,NA,NA,NA,NA,NA,NA,Faint FM calls in addition to HSB calls 
matching_annotaudio_Aditya_2018-08-19_0120-0200_29,0.43,NA,R,NA,NA,NA,NA,NA,NA,HSB calls of peak freq 80khz.
matching_annotaudio_Aditya_2018-08-19_0120-0200_30,0.26,NA,R,NA,NA,NA,NA,NA,NA,HSB calls of peak freq 80khz.
matching_annotaudio_Aditya_2018-08-19_0120-0200_32,0.53,NA,L,NA,NA,NA,NA,NA,NA,HSB calls of peak freq 80khz.
matching_annotaudio_Aditya_2018-08-19_0120-0200_33,0.13,NA,L,NA,NA,NA,NA,NA,NA,2 bat situation - one of them is a HSB calling at 80kHz.
matching_annotaudio_Aditya_2018-08-19_0120-0200_34,0.32,NA,R,NA,NA,NA,NA,NA,NA,HSB calls of peak freq 80khz.
