audio_annotation_file,,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments,,,,,,,,fm2_start_time,fm2_end_time,fm2_dbrms
matching_annotaudio_Aditya_2018-08-17_34_1,0.33,33,0.792,R,60,2.031,2.05,28.15,2.009,2.027,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_2,0.76,76,0.6992,L,60,0.313,0.328,21.53,0.306,0.5821,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_3,0.12,12,0.0336,L,NA,NA,NA,NA,NA,NA,"NO CLEAR CALL.There was one okay call. However, there is echoes present. Have taken the screenshot",,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_4,0.7,70,0.448,R,NA,NA,NA,NA,NA,NA,NO CLEAR CALL,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_7,0.52,52,0.6448,R,80,1.154,1.176,20.56,1.135,1.151,There is some echo present just after the call,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_10,0.07,7,NA,R,NA,NA,NA,NA,NA,NA,Prominent myotis calls. Very faint horseshoe bat calls in the first channel,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_12,0.74,74,1.6872,R,75,0.054,0.083,25.69,0.039,0.051,There is some echo present just after the call,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_18,0.59,59,2.0296,L,55,3.064,3.12,33.38,3.129,3.141,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_19,0.22,22,0.352,R,50,0.386,0.404,20.59,0.371,0.384,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_20,0.26,26,0.364,R,85,0.383,0.412,24.75,0.369,0.38,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_21,0.35,35,0.098,L,NA,NA,NA,NA,NA,NA,No clear call,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_22,0.76,76,1.064,R,60,0.528,0.549,35.05,0.241,0.247,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_23,0.32,32,0.1536,L,NA,NA,NA,NA,NA,NA,NO CLEAR CALL,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_24,0.87,87,0.2784,R,80,NA,NA,NA,NA,NA,NO CLEAR CALL,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_27,0.77,77,0.5236,R,NA,NA,NA,NA,NA,NA,"NO call with good SNR, There is one call from .147 to .168, but with 18 db RMS SNR",,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_31,0.08,8,0.0128,R,NA,NA,NA,NA,NA,NA,No clear call,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_32,0.5,50,2.82,L,45,0.423,0.447,20.41,0.412,0.421,There seems to be a small interference pattern in the downward FM,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_34,0.64,64,0.1536,R,NA,NA,NA,NA,NA,NA,NO CLEAR CALL,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_35,0.09,9,0.0576,L,,0.451,0.469,36.7,0.524,0.529,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_36,0.59,59,2.5252,L,70,0.949,0.969,35.58,0.936,0.946,,,,,,,,,,,
matching_annotaudio_Aditya_2018-08-17_34_38,0.17,17,0.1428,L,NA,NA,NA,NA,NA,NA,NO CLEAR CALL,,,,,,,,,,
