audio_annotation_file,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments,
matching_annotaudio_Aditya_2018-08-17_23_2,0.31,0.3224,L,65,0.307,0.328,30.7,0.293,0.307,,
matching_annotaudio_Aditya_2018-08-17_23_3,0.26,0.0936,L,NA,NA,NA,NA,NA,NA,No calls with good enough SNR,
matching_annotaudio_Aditya_2018-08-17_23_5,0.55,NA,L,NA,NA,NA,NA,NA,NA,The bat has a peak frequency of 80 kHz,
matching_annotaudio_Aditya_2018-08-17_23_6,0.06,NA,L,NA,NA,NA,NA,NA,NA,Very prominent myotis calls,
matching_annotaudio_Aditya_2018-08-17_23_7,0.45,0.342,R,NA,NA,NA,NA,NA,NA,No clear call. There is overlap with faint HSB calls although there is only one bat,
matching_annotaudio_Aditya_2018-08-17_23_8,0.46,NA,L,NA,NA,NA,NA,NA,NA,There are 2-3 prominent myotis calls towards the end. Not sure where it comes from.,
matching_annotaudio_Aditya_2018-08-17_23_11,0.77,NA,L,NA,NA,NA,NA,NA,NA,The bat has a peak frequency of 80 kHz. Also the calls of the next bat can also be seen in the spectrogram,
matching_annotaudio_Aditya_2018-08-17_23_12,1,NA,NA,NA,NA,NA,NA,NA,NA,One of the bat is a HSB calling at around 80 kHz. 2bat situation,
matching_annotaudio_Aditya_2018-08-17_23_13,0.35,NA,L,NA,NA,NA,NA,NA,NA,There is a HSB call at around 100 kHz and a faint one at 80 kHz. Hence not considered,
matching_annotaudio_Aditya_2018-08-17_23_14,0.63,0.9324,R,45,0.163,0.184,21.62,0.287,0.305,There are faint myotis calls also,
matching_annotaudio_Aditya_2018-08-17_23_15,0.51,0.1836,R,50,0.238,0.261,23.64,0.225,0.233,,
matching_annotaudio_Aditya_2018-08-17_23_16,0.16,NA,L,NA,NA,NA,NA,NA,NA,There are prominent myotis calls towards the end which are of the bat entering the view in the next view frames,
matching_annotaudio_Aditya_2018-08-17_23_18,0.8,NA,NA,NA,NA,NA,NA,NA,NA,One of the bat is a HSB calling at around 80 kHz. 2bat situation,
matching_annotaudio_Aditya_2018-08-17_23_19,0.57,NA,L,NA,NA,NA,NA,NA,NA,Overlap with calls of peak freq 80kHz. This is of the bat coming into the view in a few frames,
matching_annotaudio_Aditya_2018-08-17_23_20,0.77,NA,NA,NA,NA,NA,NA,NA,NA,One of the bat is a HSB calling at around 80 kHz. 2bat situation,
matching_annotaudio_Aditya_2018-08-17_23_21,0.79,NA,R,NA,NA,NA,NA,NA,NA,"Although there is only one bat in the camera view, the calls of the bat coming into the frame after a few frames are also present",
matching_annotaudio_Aditya_2018-08-17_23_23,0.25,NA,R,NA,NA,NA,NA,NA,NA,Single bat in the camera view. However there are calls of HSB with peak freq. kHz and also myotis calls at the end,
matching_annotaudio_Aditya_2018-08-17_23_24,0.7,0.868,L,70,0.268,0.288,22.42,0.346,0.363,There is one call at 80 kHz early in the recording. It could be a bat flying in the corridor?,
matching_annotaudio_Aditya_2018-08-17_23_26,0.93,2.3436,L,40,2.275,2.297,24.4,2.251,2.27,,
matching_annotaudio_Aditya_2018-08-17_23_27,0.66,NA,L,NA,NA,NA,NA,NA,NA,Only myotis calls.,
matching_annotaudio_Aditya_2018-08-17_23_28,0.9,1.26,L,45,1.022,1.041,25.86,1.052,1.063,There are faint echoes before the start of the call,
matching_annotaudio_Aditya_2018-08-17_23_30,0.18,0.1008,L,60,0.029,0.052,37.59,0.315,0.324,,
matching_annotaudio_Aditya_2018-08-17_23_31,0.3,NA,L,NA,NA,NA,NA,NA,NA,"Along with HSB calls at 100kHz, there are also calls of HSB at 80Hz (of the bat coming into the cave within a few frames)",
matching_annotaudio_Aditya_2018-08-17_23_32,0.65,NA,NA,NA,NA,NA,NA,NA,NA,One of the bat is a HSB calling at around 80 kHz. 2bat situation,
matching_annotaudio_Aditya_2018-08-17_23_33,0.83,NA,R,NA,NA,NA,NA,NA,NA,HSB calls at 80kHz,
matching_annotaudio_Aditya_2018-08-17_23_34,0.56,NA,L,NA,NA,NA,NA,NA,NA,HSB calls at 80kHz,
matching_annotaudio_Aditya_2018-08-17_23_35,0.43,NA,L,NA,NA,NA,NA,NA,NA,HSB calls at 80kHz,
matching_annotaudio_Aditya_2018-08-17_23_36,0.85,NA,R,NA,NA,NA,NA,NA,NA,Only myotis calls.,
matching_annotaudio_Aditya_2018-08-17_23_37,0.42,0.42,R,60,0.526,0.544,20.9,0.513,0.524,The Fm is faint and there seems to be interference at one point,
matching_annotaudio_Aditya_2018-08-17_23_38,0.58,NA,R,NA,NA,NA,NA,NA,NA,Myotis calls only,
matching_annotaudio_Aditya_2018-08-17_23_39,0.32,0.9984,L,NA,NA,NA,NA,NA,NA,Overlap with HSB calls at the end. Probably of the bat coming into the view in a few frames,
matching_annotaudio_Aditya_2018-08-17_23_40,0.13,NA,R,NA,NA,NA,NA,NA,NA,Overlap with the calls of the next bat,
matching_annotaudio_Aditya_2018-08-17_23_42,0.08,NA,NA,NA,NA,NA,NA,NA,NA,No clear call,
