audio_annotation_file,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments,
matching_annotaudio_Aditya_2018-08-16_2324_1,0.4,NA,L,NA,NA,NA,NA,NA,NA,HSB and FM calls. In the beginning there is HSB calls at 80kHz also. Succeeding this is a 2 bat situation.,
matching_annotaudio_Aditya_2018-08-16_2324_3,0.13,0.2132,R,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-16_2324_4,0.35,NA,L,NA,NA,NA,NA,NA,NA,HSB calls at 80khz peak freq.,
matching_annotaudio_Aditya_2018-08-16_2324_5,0.8,0.48,R,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-16_2324_6,0.2,NA,L,NA,NA,NA,NA,NA,NA,There is only one bat in the cave.However overlapping HSB calls. Succeeding this is a 2 bat situation.,
matching_annotaudio_Aditya_2018-08-16_2324_7,0.49,0.5292,R,60,0.789,0.809,39.67,0.786,0.789,,
matching_annotaudio_Aditya_2018-08-16_2324_8,0.99,NA,R,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-16_2324_9,0.1,0.068,R,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-16_2324_10,0.86,0.5848,L,45,0.023,0.064,23.66,0.077,0.085,,
matching_annotaudio_Aditya_2018-08-16_2324_11,0.92,NA,R,NA,NA,NA,NA,NA,NA,THere is only one bat in the cave.However HSB + FM  calls. Succeeding this is a 2 bat situation.,
matching_annotaudio_Aditya_2018-08-16_2324_12,0.59,NA,R,NA,NA,NA,NA,NA,NA,2 bat situation between FM bat and HSB,
matching_annotaudio_Aditya_2018-08-16_2324_14,0.96,0.2688,R,70,0.024,0.041,22.2,0.087,0.097,There is one FM call towards the end. Not sure,
matching_annotaudio_Aditya_2018-08-16_2324_15,0.19,0.1292,R,40,0.02,0.039,29.76,0.054,0.06,,
matching_annotaudio_Aditya_2018-08-16_2324_16,0.2,NA,R,NA,NA,NA,NA,NA,NA,FM calls only,
matching_annotaudio_Aditya_2018-08-16_2324_17,0.96,NA,L,NA,NA,NA,NA,NA,NA,There is only one bat in the cave.However overlapping HSB calls. Succeeding this is a 2 bat situation.,
matching_annotaudio_Aditya_2018-08-16_2324_18,0.28,0.3808,L,45,0.044,0.067,33.62,0.46,0.464,There are echoes of the previous call along with this. NOT SURE. 2 bat situation.,
matching_annotaudio_Aditya_2018-08-16_2324_19,0.54,NA,L,NA,NA,NA,NA,NA,NA,There is only one bat in the cave.However overlapping HSB calls. Succeeding this is a 2 bat situation.,
matching_annotaudio_Aditya_2018-08-16_2324_20,0.56,0.56,L,60,0.322,0.342,40.69,0.857,0.861,,
matching_annotaudio_Aditya_2018-08-16_2324_22,0.79,4.6768,R,55,5.101,5.125,38.55,5.549,5.552,There are very 1/2 faint myotis calls in between,
matching_annotaudio_Aditya_2018-08-16_2324_23,0.2,0.56,L,45,0.502,0.519,25.95,0.952,0.959,,
matching_annotaudio_Aditya_2018-08-16_2324_24,0.65,0.39,R,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-16_2324_25,0.43,NA,R,NA,NA,NA,NA,NA,NA,There is only one bat in the cave.However overlapping HSB calls. Succeeding this is a 2 bat situation.,
matching_annotaudio_Aditya_2018-08-16_2324_26,0.68,0.8976,R,40,0.129,0.146,32.53,0.445,0.449,,
matching_annotaudio_Aditya_2018-08-16_2324_27,0.86,NA,L,NA,NA,NA,NA,NA,NA,There is only one bat in the cave.However overlapping HSB calls. Succeeding this is a 2 bat situation.,
matching_annotaudio_Aditya_2018-08-16_2324_28,0.7,0.588,R,55,0.54,0.556,29.89,0.086,0.09,,
matching_annotaudio_Aditya_2018-08-16_2324_29,0.33,0.1056,R,80,0.199,0.236,39.87,0.247,0.258,,
matching_annotaudio_Aditya_2018-08-16_2324_30,0.09,0.144,R,50,0.204,0.248,29.06,0.338,0.352,,
matching_annotaudio_Aditya_2018-08-16_2324_31,0.33,0.3696,R,70,0.623,0.642,41.61,0.878,0.885,,
matching_annotaudio_Aditya_2018-08-16_2324_41,0.3,0.084,L,70,0.005,0.022,51.1,0.193,0.198,There are echoes of the previous call along with this. NOT SURE. 2 bat situation.,
matching_annotaudio_Aditya_2018-08-16_2324_44,0.36,NA,L,NA,NA,NA,NA,NA,NA,Fm and HSB calls,
matching_annotaudio_Aditya_2018-08-16_2324_46,0.15,NA,L,NA,NA,NA,NA,NA,NA,There is only one bat in the cave. However FM and HSB calls.,
matching_annotaudio_Aditya_2018-08-16_2324_47,0.54,NA,R,NA,NA,NA,NA,NA,NA,"FM and HSB calls, although only one bat flying. Succeeding this is a 2 bat event.",
matching_annotaudio_Aditya_2018-08-16_2324_49,0.96,NA,R,NA,NA,NA,NA,NA,NA,3 bat situation - one of them is a FM bat,
matching_annotaudio_Aditya_2018-08-16_2324_51,0.93,NA,R,NA,NA,NA,NA,NA,NA,2 bat situation between FM bat and HSB,
matching_annotaudio_Aditya_2018-08-16_2324_52,0.36,NA,R,NA,NA,NA,NA,NA,NA,2 bat situation between FM bat and HSB,
matching_annotaudio_Aditya_2018-08-16_2324_54,0.41,1.0988,L,80,0.851,877,33.01,0.828,0.838,,
matching_annotaudio_Aditya_2018-08-16_2324_55,0.78,2.2152,L,45,1.044,1.076,23.36,1.021,1.029,,
matching_annotaudio_Aditya_2018-08-16_2324_56,0.44,1.3024,L,45,1.049,1.075,27.59,1.035,1.043,,
matching_annotaudio_Aditya_2018-08-16_2324_57,0.2,NA,R,NA,NA,NA,NA,NA,NA,Overalapping HSB-FM calls.,
matching_annotaudio_Aditya_2018-08-16_2324_58,0.7,NA,L,NA,NA,NA,NA,NA,NA,Only one bat in the cave. However overlapping calls. 3 bat situation succeeding this.,
matching_annotaudio_Aditya_2018-08-16_2324_59,0.98,1.0192,R,70,0.618,0.637,22.03,0.362,0.365,,
