audio_annotation_file,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments,
matching_annotaudio_Aditya_2018-08-17_23_12,1,NA,NA,NA,NA,NA,NA,NA,NA,One of the bat is a HSB calling at around 80 kHz. 2bat situation,
matching_annotaudio_Aditya_2018-08-17_23_14,0.63,0.9324,R,45,0.163,0.184,21.62,0.287,0.305,There are faint myotis calls also,
matching_annotaudio_Aditya_2018-08-17_23_18,0.8,NA,NA,NA,NA,NA,NA,NA,NA,One of the bat is a HSB calling at around 80 kHz. 2bat situation,
matching_annotaudio_Aditya_2018-08-17_23_20,0.77,NA,NA,NA,NA,NA,NA,NA,NA,One of the bat is a HSB calling at around 80 kHz. 2bat situation,
matching_annotaudio_Aditya_2018-08-17_23_24,0.7,0.868,L,70,0.268,0.288,22.42,0.346,0.363,There is one call at 80 kHz early in the recording. It could be a bat flying in the corridor?,
matching_annotaudio_Aditya_2018-08-17_23_32,0.65,NA,NA,NA,NA,NA,NA,NA,NA,One of the bat is a HSB calling at around 80 kHz. 2bat situation,
matching_annotaudio_Aditya_2018-08-17_23_56,0.28,0.3696,L,70,0.04,0.072,0.226,0.236,23.87,,
matching_annotaudio_Aditya_2018-08-17_23_60,0.71,NA,NA,NA,NA,NA,NA,NA,NA,One of the bat is a HSB calling at around 80 kHz. 2bat situation,
matching_annotaudio_Aditya_2018-08-17_23_63,0.67,NA,NA,NA,NA,NA,NA,NA,NA,One of the bat is a HSB calling at around 80 kHz. 2bat situation,
matching_annotaudio_Aditya_2018-08-17_23_65,0.61,0.1708,R,70,0.194,0.217,28.64,0.158,0.168,There are echoes just before the FM starts. Overlaps a little. ,
matching_annotaudio_Aditya_2018-08-17_23_68,0.42,0.084,NA,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-17_23_72,0.56,0.3136,L,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-17_23_86,0.16,NA,NA,NA,NA,NA,NA,NA,NA,One of the bat is a HSB calling at around 80 kHz. 2bat situation,
matching_annotaudio_Aditya_2018-08-17_23_137,0.93,2.4552,R,45,1.274,1.289,21.28,1.379,1.385,,
matching_annotaudio_Aditya_2018-08-17_23_141,0.14,0.0112,R,40,0.008,0.029,35.76,0.067,0.077,Not very sure. There are faint echoes and interference at a point within the call,
matching_annotaudio_Aditya_2018-08-17_23_157,0.57,1.254,L,70,0.338,0.362,22.69,0.314,0.327,,
matching_annotaudio_Aditya_2018-08-17_23_160,0.86,NA,NA,NA,NA,NA,NA,NA,NA,2 bat situation with myotis+ HSb,
matching_annotaudio_Aditya_2018-08-17_23_170,0.02,0.0152,R,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-17_23_172,0.82,2.9192,L,60,2.746,2.711,27.79,3.51,3.517,,
matching_annotaudio_Aditya_2018-08-17_23_191,0.32,0.128,L,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-17_23_196,0.58,0.6496,L,60,0.819,0.841,27.85,0.926,0.94,,
matching_annotaudio_Aditya_2018-08-17_23_42,0.08,NA,NA,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-17_23_78,0.25,NA,NA,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-17_23_115,0.52,0.6032,R,45,0.469,0.487,20.24,0.166,0.177,,
matching_annotaudio_Aditya_2018-08-17_23_173,0.17,0.646,R,60,2.633,2.654,25.49,2.986,2.922,,
matching_annotaudio_Aditya_2018-08-17_23_192,0.23,0.3128,L,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-17_23_70,0.45,0.09,L,55,0.178,0.196,33.05,0.513,0.535,Silent interval taken from Annotation 23_81. There are echoes before the calls start. Not very confident,
matching_annotaudio_Aditya_2018-08-17_23_71,0.4,0.336,R,NA,NA,NA,NA,NA,NA,,No clear call
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
